,id_dataset,user_account,tweet,clean_tweet,label,id_user
0,54867,@MalvaSelena,"Dengan demikian, draft yang",draf,1,1
1,54868,@rangkaihumanity,"Tulisan dahsyat dari sahabat saya 
@imagili_
 tentang motif oligarkis dibalik RUU ""Omnibus Law"" Cipta Kerja cc 
@gifarrxidTaktik Politik Bernama Omnibus Law
Sejak Presiden Joko Widodo mencanangkan pembuatan Rancangan Undang-Undang (RUU) Cipta Lapangan Kerja (RUU Cilaka) dengan metode Omnibus…
medium.com",tulis dahsyat sahabat motif oligarki balik rancang undang undang omnibus law cipta kerja cc politik nama omnibus law presiden joko widodo canang buat rancang undang undang rancang undang undang cipta lapang kerja rancang undang undang celaka metode omnibus,0,1
2,54869,@Mtuhasan02,"#OmnibusLawUntungkanBuruh

Keren pengacara satu inih,gak banyak omong sebelum selesai baca RUU Cipta Kerja,

Inih jadi contoh yg baik buat generasi muda sekarang,baca,dan pelajari dulu sebelum kalian sampaikan orasi dalam demo

Hindari berita hoax,saudaraMalan Melintang di Dunia Hukum, Hotman Paris Selesai Baca UU Cipta Kerja: Ini Sangat Menguntungkan...
Disela-sela banyaknya kritik untuk pemerintah, pengacara kondang Tanah Air, Hotman Paris Hutapea bak mengabarkan angin segar.
sosok.grid.id",keren acara omong selesai baca rancang undang undang cipta kerja contoh generasi muda baca ajar orasi demo hindar berita hoax saudaramalan lintang dunia hukum hotman paris selesai baca undang undang cipta kerja untung sela banyak kritik perintah acara kondang tanah air hotman paris hutapea bak abar angin segar sosok jaring,1,1
3,54870,@chocotsen,"pemerintah ga niat bikin konferensi pers buat ngelurusin hoax2 ruu cipta kerja yg banyak tersebar kah? Klo mmg ada misunderstanding dr masyarakat, harusnya diluruskan, biar demo ga semakin parah. Ini musim pandemi loh, Pak, Bu. Negara lain pasti nangis liat video demo kit",perintah niat bikin konferensi pers lurus rancang undang undang cipta kerja sebar salah paham masyarakat lurus biar demo parah musim pandemi negara nang lihat video demo kit,1,1
4,54871,@Tika54,#KRPIPerppuBatalkanUUCipker sehingga muncul catatan lain bahaya klaster ketenagakerjaan “yang katanya draft final RUU Cipta Kerja” yang selanjutnya disahkan menjadi UU Cipta Kerja terkait :,muncul catat bahaya kluster ketenagakerjaan draf final rancang undang undang cipta kerja sah undang undang cipta kerja kait,1,1
5,54872,@gracehtp,"RUU CIPTA KERJA-KIRIM KE PRESIDEN
dulu pas kuliah gue sering sih bikin file
“Berkas Fix”, “Berkas Fix Banget”, “Berkas Paling Fix”, “Berkas Paling Fix Jam 2 Pagi”, “Berkas Udah Siap Print Jangan Revisi Lagi”
tapi itu pas masih alay ",rancang undang undang cipta kerja kirim presiden pas kuliah sih bikin file berkas berkas banget berkas berkas jam pagi berkas print revisi pas anak lebay,1,1
6,54873,@fahiraidris,"19. Namun sayang, permintaan 
@DPDRI
 secara kelembagaan untuk menghentikan dan menunda pembahasan Omnibus Law Cipta Kerja sampai pandemi Covid-19 berakhir, belum berhasil dikabulkan oleh DPR dan Pemerintah sehingga pembahasan terus bergulir hingga  RUU tersebut disahkan oleh DPR.Fahira Idris DPD RI dan 2 lainnya",sayang minta lembaga henti tunda bahas omnibus law cipta kerja pandemi covid hasil kabul dewan wakil rakyat perintah bahas gulir rancang undang undang sah dewan wakil rakyat fahira idris dewan wakil daerah rakyat indonesia,1,1
7,54874,@tribunnews,"Di Mata Najwa, Benny K Harman Ungkap UU Cipta Kerja Harusnya Batal: Kita Menyetujui RUU Hantu https://wow.tribunnews.com/2020/10/15/di-mata-najwa-benny-k-harman-ungkap-uu-cipta-kerja-harusnya-batal-kita-menyetujui-ruu-hantu… lewat 
@tribunnewsDi Mata Najwa, Benny K Harman Ungkap UU Cipta Kerja Harusnya Batal: Kita Menyetujui RUU Hantu -...
Anggota Badan Legislasi (Baleg) Fraksi Partai Demokrat Benny K Harman mengungkapkan alasannya menyebut omnibus law UU Cipta Kerja layaknya 'hantu'.
wow.tribunnews.com",mata najwa benny k harman undang undang cipta kerja batal tuju rancang undang undang hantu,1,1
8,54875,@Kerupukmerah21,"Membalas 
@jokowiJika ingin membaca semua rincian *UU Omnibus Law* silakan ke laman di bawah ini:

1. RUU Cipta Kerja (Baleg DPR PDF)
http://dpr.go.id/dokakd/dokumen/BALEG-RJ-20200605-100224-2372.pdf…

2. RUU Cipta Kerja (Google Drive PDF)",balas baca rincian undang undang omnibus law sila laman rancang undang undang cipta kerja baleg dewan wakil rakyat pdf,1,1
9,54876,@jpnncom,"Menko Perekonomian Airlangga Hartarto meminta masyarakat memahami secara detail isi RUU Cipta Kerja agar tidak terjebak pada hoaks yang selama ini beredar. #AirlanggaHartartoMeluruskan Hoaks soal RUU Cipta Kerja, Airlangga Hartarto: Ini Mengutamakan Kepentingan Rakyat
Menko Perekonomian Airlangga Hartarto meminta masyarakat memahami secara detail isi RUU Cipta Kerja agar tidak terjebak pada hoaks yang selama ini beredar.
m.jpnn.com",menteri koordinator ekonomi airlangga hartarto masyarakat paham detail isi rancang undang undang cipta kerja jebak hoax edar hoax rancang undang undang cipta kerja airlangga hartarto utama penting rakyat menteri koordinator ekonomi airlangga hartarto masyarakat paham detail isi rancang undang undang cipta kerja jebak hoax edar m,1,1
