,Handle,Text,tweet_clean
0,@RahmaFathiyyah,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya? | Serba-serbi MMC

Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini.",ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak dunia bank puji serba serbi mmc kesah undang undang cipta kerja minggu rapat larut malam pekan sah rancang undang undang celaka
1,@Hendria04991579,"Jurus kilat ala sistem kebut skripsi layaknya mahasiswa semester tua, RUU Omnibus Law ini ngebet dan ngebut digarap di Senayan.  Fixed, RUU Cipta Kerja disahkan menjadi UU Ciptaker dalam sidang paripurna yang hasilnya jauh dari kata sempurna.
#OmnibusLawSengsarakanPerempuan",jurus kilat ala sistem kebut skripsi layak mahasiswa semester tua rancang undang undang omnibus law ngebet kebut garap senayan rancang undang undang cipta kerja sah undang undang cipta kerja sidang paripurna hasil sempurna
2,@anis34216465,"Sudah jatuh tertimpa tangga. Bebas Covid-19 jauh panggang dari api, palu diketok masuk resesi, pemerintah gerak cepat kirim “kado” pengesahan RUU Cipta Kerja.
#OmnibusLawSengsarakanPerempuan",jatuh timpa tangga bebas covid panggang api palu ketok masuk resesi perintah gerak cepat kirim kado kesah rancang undang undang cipta kerja
3,@EkoFirman15,"Mahasiswa cerdas . Pelajaran i dulu RUU CIPTA KERJA onimboslaw.Tweet Kutipan
Santorini
@SantorinisSun
 · 20 Okt
Silahkan menyuarakan aspirasi...soalnya diatur ama undang2.
Upayakan menjaga jarak...soalnya si COVID ga ada yg bisa ngatur!
Memaksakan demo di masa pandemi sangatlah tdk bijak!
Karena ujungnya si COVID yg akan ter-bahak2!
#herdimmunity
oto.detik.com/berita/d-52203…",mahasiswa cerdas ajar rancang undang undang cipta kerja omnibus law tweet kutip santorini oktober silah suara aspirasi atur upaya jaga jarak si covid atur paksa demo pandemi bijak ujung si covid ter oto berita d
4,@beereciel,"tapi kalau topik ruu cipta kerja,,, SEBERAPA BANYAK ITUUU MAMPUS AJA",topik rancang undang undang cipta kerja mampus
5,@KRuHA_Indonesia,"“ Tak Ada Rakyat Dalam Omnibus Law/RUU Cipta Kerja”

#OmnibusCilaka tdk saja menyediakan karpet merah bagi kemudahan investasi, tp juga mendisposisi rakyat sbg sumber masalah atau hambatan investasi & kembali meletakan rakyat dlm situasi terjajahKertas Kerja “Tak Ada Rakyat Dalam Omnibus Law/RUU Cipta Kerja” - KRuHA
Kertas kerja KRuHA yang berjudul  “Tak ada Rakyat di dalam Omnibus Law/ RUU Cipta Kerja “ disusun sejak awal tahun 2020, dimaksudkan sebagai respon terhadap proses dan juga isi dari Omnibus Law/RUU...
kruha.org",rakyat omnibus law rancang undang undang cipta kerja sedia karpet merah mudah investasi disposisi rakyat sumber hambat investasi leta rakyat situasi jajah kertas kerja rakyat omnibus law rancang undang undang cipta kerja kruha kertas kerja kruha judul rakyat omnibus law rancang undang undang cipta kerja susun tahi respons proses isi omnibus law rancang undang undang kruha orang
6,@sekar05vita,"Kena macet karena demo tolak RUU Cipta Kerja. Tapi tak apa... Ini cuma kena macet, semoga semua aman dan baikbaik saja yaa.. Semangaaat!!!",kena macet demo tolak rancang undang undang cipta kerja kena macet moga aman ya semang
7,@Dhanank16013664,"Membalas 
@DahnilanzarNanti mereka muncul akan dikira penunggang,,,? Lalu dmna suara gerindra kok ga nolak RUU cipta kerja? Jadi ilfill sama sosok wowo yg diam ketika rusuh demo, pdahal beliau mentan eh menhan,,,lupa sy abis menhan kok nanam singkong",balas muncul tunggang suara gerindra tolak rancang undang undang cipta kerja ilfil sosok wowo diam rusuh demo beliau tan menteri tahan lupa habis menteri tahan tanam singkong
8,@hiiyyen,"Membalas 
@schfesstrain to busan aja nder, perjuangan melawan ruu cipta kerja eh maksudnya jombi",balas bus sender juang lawan rancang undang undang cipta kerja maksud jombi
9,@MalvaSelena,"#6TahunJokowi 
 Pembahasan penyusunan Rancangan Undang-undang (RUU) Omnibus Law Cipta Kerja dinilai sudah melibatkan partisipasi semua pihak, terutama kaum buruh dan pekerja. Bahkan, banyak saran dari kelompok pekerja dan buruh sudah diakomodasi dalam RUU inisiatif pemerintah itu",bahas susun rancang undang undang rancang undang undang omnibus law cipta kerja nilai libat partisipasi kaum buruh kerja saran kelompok kerja buruh akomodasi rancang undang undang inisiatif perintah
10,@begudgerl,"Membalas 
@jeonginluvyuTau dah masa sama ruu cipta kerja cpt an ruu:v",balas rancang undang undang cipta kerja cepat an rancang undang undang v
12,@DianRosanti12,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya? | Serba-serbi MMCKetua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak dunia bank puji serba serbi mmc ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak dunia bank kesah undang undang cipta kerja minggu rapat larut malam pekan sah rancang undang undang celaka pimpin dewan wakil rakyat men
15,@Jumadi97709906,"Gerindra hanya di belakang layar,karena ketua umum nya jadi menteri pertahanan.
Prabowo subianto kemarin jadi oposisi pemerintah sangat keres kritik TKA masuk indonesia,sekarang jadi koalisi pemerintah prabowo bilang ada Orang Asing dalam Demo tolak RUU OMNIBUS LAW CIPTA KERJA.Tweet Kutipan
Dahnil A Simanjuntak
@Dahnilanzar
 · 20 Okt
https://politik.rmol.id/read/2020/10/19/457307/pengamat-ke-mana-demokrat-pks-kami-pasca-demo-kok-yang-muncul-gerindra… Analisa",gerindra layar ketua menteri tahan prabowo subianto kemarin oposisi perintah keras kritik tenaga kerja asing masuk indonesia koalisi perintah prabowo bilang orang asing demo tolak rancang undang undang omnibus law cipta kerja tweet kutip dahnil a simanjuntak oktober
16,@akjailanireal,"Illiza Mengaku Tidak Dilibatkan dalam Pengesahan RUU Cipta KerjaIlliza Mengaku Tidak Dilibatkan dalam Pengesahan RUU Cipta Kerja
BANDA ACEH – Hj Illiza Sa’aduddin Djamal sepertinya enggan berbicara seputar pengesahan Omnibus Law UU Cipta Kerja. Meskipun Mantan Wali.....
acehimage.com",illiza aku libat kesah rancang undang undang cipta kerja illiza aku libat kesah rancang undang undang cipta kerja banda aceh haji illiza sa aduddin djamal enggan bicara putar kesah omnibus law undang undang cipta kerja mantan wali
17,@walhinasional,"WALHI Menyatakan pengesahan RUU Cipta Kerja merupakan tindakan inkonstitusional dan tidak demokratis yang harus dilawan dengan sehebat-hebatnya
#MosiTidakPercaya 
#WhatsHappeningInIndonesia 
#JRBukanJalanKeluar
#CabutOmnibusLaw 
#BatalkanOmnibuLAWWALHI: Pengkhianatan terhadap Rakyat pada Pengesahan RUU Cipta Kerja
Pelantar.id – DPR RI menggelar rapat paripurna pengesahan RUU Cipta Kerja pada Senin, 5 Oktober 2020. Pengesahan dilakukan secara senyap dan tergesa-gesa menjadi puncak pengkhianatan istana dan...
pelantar.id",walhi kesah rancang undang undang cipta kerja tindak inkonstitusional demokratis lawan hebat hebat khianat rakyat kesah rancang undang undang cipta kerja pelantar dewan wakil rakyat rakyat indonesia gelar rapat paripurna kesah rancang undang undang cipta kerja senin oktober kesah senyap gesa gesa puncak khianat istana pelantar
18,@TIARA2796,"REDISTRIBUSI TANAH, REVOLUSI DARI JOKOWI! 

Ada sesuatu yang menarik dari konsep RUU Cipta Kerja. Sebuah langkah revolusioner dalam hak pertanahan yang sudah lama menjadi topik diskursus.
#6tahunjokowi 
#IndonesiaBangkit",redistribusi tanah revolusi jokowi tarik konsep rancang undang undang cipta kerja langkah revolusioner hak tanah topik kursus
19,@Paltiwest,"#6TahunJokowi yuk disimak isu-isu penting dalam UU Cipta Kerja.. Dari grafis tim 
@PerekonomianRI
 terlihat jelas loh keterlibatan publik dalam penyusunan RUU Cipta Kerja
@kangdede78
 @tonykojansow",ayo simak isu isu undang undang cipta kerja grafis tim libat publik susun rancang undang undang cipta kerja
20,@hwamyluv,"menurut kelompok kami sih Tidak etis, UU Cipta Kerja disahkan dimasa pandemi dimana kondisi dan waktu yang tidak memungkinkan untuk menciptakan dan mengesahkan RUU, karena menyebabkan banyak Pro dan Kontra terhadap UU Cipta Kerja
#Etika4D #AkuntansiPolinema 
@AriKamayanti",kelompok sih etis undang undang cipta kerja sah masa pandemi mana kondisi cipta kesah rancang undang undang sebab pro kontra undang undang cipta kerja
21,@Papuakuindo,Hasil survei nasional Saiful Mujani Research Center (SMRC) menyebutkan 52% atau mayoritas masyarakat memberikan dukungan publik terhadap RUU Cipta Kerja. Dukungan ini didasari oleh kondisi ekonomi Indonesia yang semakin memburuk selama masa pandemi.,hasil survei nasional saiful mujani teliti pusat smrc mayoritas masyarakat dukung publik rancang undang undang cipta kerja dukung dasar kondisi ekonomi indonesia buruk pandemi
22,@UmmuVhy,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Mem... https://youtu.be/DZmnBOZptuA via 
@YouTubeKetua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak dunia bank mem
23,@Papuakuindo,"Gading: RUU Cipta Kerja membuka peluang investasi besar dan bakal menciptakan pekerjaan yang seluas-luasnya bagi masyarakat

Gading Marten
Artis dan Presenter",gading rancang undang undang cipta kerja buka peluang investasi cipta kerja luas luas masyarakat gading marten artis presenter
25,@mahasiswakpu2,Ada yang punya draft ruu cipta kerja yang 812 halaman kah? Please butuh bgt buat skripsi,draf rancang undang undang cipta kerja halaman tolong butuh banget skripsi
29,@jalanin_yuk,"Hari ini mahasiswa berkumpul dan meneruskan aksi tolak RUU Cipta Kerja.

adik2..terimakasih ya.
Saya titip aspirasi saya,semoga ada hasilnya dan please tetep pake masker.

oiya satu lagi,pastikan kalian sudah baca draft RUU nya,jangan demo doang tanpa baca",mahasiswa kumpul terus aksi tolak rancang undang undang cipta kerja terima kasih ya titip aspirasi moga hasil tolong pakai masker oh iya pasti baca draf rancang undang undang demo doang baca
30,@arifinpribadi,"ITU UU Cipta Kerja udah Di Istana selama 3 Presiden , Dan orang banyak bilang terburu 2 DLL , nggak mikir 18 tahun cm JD RUU krn takut nggak populis . 
@jokowi
 bisa diukur  kekerasan tekad Beliau membuat rakyat sejahtera  Saya salut lho. 
@Cyber_PDIP
 @PDI_Perjuangan",undang undang cipta kerja istana presiden orang bilang buru dll pikir tahi cm rancang undang undang takut rakyat ukur keras tekad beliau rakyat sejahtera salut
31,@ummu_at,"Sudah jatuh, tertimpa tangga pula. Begitulah nasib perempuan saat ini. RUU Cipta Kerja yang dikebut pada 5/10/2020 ini dinilai merugikan kalangan buruh termasuk perempuan. 

Selengkapnya, simak di video ya...
https://youtu.be/XSGL7XXhx6A

#OmnibusLawSengsarakanPerempuanTak Ada Hati! Perbudakan Legal Oleh Negara, Perempuan Lagi-lagi Jadi...
Sudah jatuh, tertimpa tangga pula. Begitulah nasib perempuan saat ini. RUU Cipta Kerja yang dikebut pada 5/10/2020 ini dinilai merugikan kalangan buruh terma...
youtube.com",jatuh timpa tangga nasib perempuan rancang undang undang cipta kerja kebut nilai rugi kalang buruh perempuan lengkap simak video ya
32,@jelita4you,"Ketua DPR : Draft RUU Cipta kerja hanya di Cek Acak , Bank Dunia memujinya..?Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak bank dunia puji ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak dunia bank kesah undang undang cipta kerja minggu rapat larut malam pekan sah rancang undang undang celaka pimpin dewan wakil rakyat men
33,@DinataQ,"Adakah pendapat lain? 
Comment di bawah
-
RUU CIPTA KERJA : http://dpr.go.id/.../BALEG-RJ-20200605-100224-2372.pdf…",ada dapat komentar rancang undang undang cipta kerja
34,@Dewisulastini1,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya? | Serba-serbi MMC

https://youtu.be/DZmnBOZptuA

Jangan lupa share seluas-luasnya Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak dunia bank puji serba serbi mmc
35,@PalembangLpka,"10. Presiden 
@jokowi
 menugaskan menteri 
@PerekonomianRI
 @Kemenkumham_RI
 @KemenkeuRI
 @KemnakerRI
 @kemendagri
 @KementerianLHK
 @atr_bpn
 @KementerianESDM
 @KemenkopUKM
 @KemenPU
 @kementan
 mewakili presiden dalam pembahasan RUU Cipta Kerja di DPR

#KumhamPasti
#OmnibusLawTaatProsedural",presiden tugas menteri wakil presiden bahas rancang undang undang cipta kerja dewan wakil rakyat
36,@PalembangLpka,"9. Surat tersebut ditindaklanjuti Menko 
@PerekonomianRI
 bersama menteri terkait dengan menyampaikan surat presiden, naskah RUU Cipta Kerja, serta naskah akademik yg menyertainya kepada Ketua dan Wakil Ketua 
@DPR_RI
 tanggal 12 Februari 2020

#KumhamPasti
#OmnibusLawTaatProsedural",surat tindak menteri koordinator menteri kait surat presiden naskah rancang undang undang cipta kerja naskah akademik serta ketua wakil ketua tanggal februari
37,@PalembangLpka,"8. Presiden 
@jokowi
 melalui surat nomor: R-06/Pres/02/2020 tanggal 7 Februari 2020 menyampaikan secara resmi RUU Cipta Kerja kepada Ketua 
@DPR_RI
 untuk dibahas dalam sidang DPR guna mendapatkan persetujuan dengan prioritas utama

#KumhamPasti
#OmnibusLawTaatProsedural
#Kumham22",presiden surat nomor r pres tanggal februari resmi rancang undang undang cipta kerja ketua bahas sidang dewan wakil rakyat tuju prioritas utama
