no,user_account,label,tweet,clean
1,@RahmaFathiyyah,0,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya? | Serba-serbi MMC

Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini.",ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak dunia bank puji serba serbi mmc kesah undang undang cipta kerja minggu rapat larut malam pekan sah rancang undang undang celaka
2,@Hendria04991579,0,"Jurus kilat ala sistem kebut skripsi layaknya mahasiswa semester tua, RUU Omnibus Law ini ngebet dan ngebut digarap di Senayan.  Fixed, RUU Cipta Kerja disahkan menjadi UU Ciptaker dalam sidang paripurna yang hasilnya jauh dari kata sempurna.
#OmnibusLawSengsarakanPerempuan",jurus kilat ala sistem kebut skripsi layak mahasiswa semester tua rancang undang undang omnibus law ngebet kebut garap senayan rancang undang undang cipta kerja sah undang undang cipta kerja sidang paripurna hasil sempurna
3,@anis34216465,0,"Sudah jatuh tertimpa tangga. Bebas Covid-19 jauh panggang dari api, palu diketok masuk resesi, pemerintah gerak cepat kirim “kado” pengesahan RUU Cipta Kerja.
#OmnibusLawSengsarakanPerempuan",jatuh timpa tangga bebas covid panggang api palu ketok masuk resesi perintah gerak cepat kirim kado kesah rancang undang undang cipta kerja
4,@EkoFirman15,1,"Mahasiswa cerdas . Pelajaran i dulu RUU CIPTA KERJA onimboslaw.Tweet Kutipan
Santorini
@SantorinisSun
 · 20 Okt
Silahkan menyuarakan aspirasi...soalnya diatur ama undang2.
Upayakan menjaga jarak...soalnya si COVID ga ada yg bisa ngatur!
Memaksakan demo di masa pandemi sangatlah tdk bijak!
Karena ujungnya si COVID yg akan ter-bahak2!
#herdimmunity
oto.detik.com/berita/d-52203…",mahasiswa cerdas ajar rancang undang undang cipta kerja omnibus law tweet kutip santorini oktober silah suara aspirasi atur upaya jaga jarak si covid atur paksa demo pandemi bijak ujung si covid ter oto berita d
5,@beereciel,0,"tapi kalau topik ruu cipta kerja,,, SEBERAPA BANYAK ITUUU MAMPUS AJA",topik rancang undang undang cipta kerja mampus
6,@KRuHA_Indonesia,0,"“ Tak Ada Rakyat Dalam Omnibus Law/RUU Cipta Kerja”

#OmnibusCilaka tdk saja menyediakan karpet merah bagi kemudahan investasi, tp juga mendisposisi rakyat sbg sumber masalah atau hambatan investasi & kembali meletakan rakyat dlm situasi terjajahKertas Kerja “Tak Ada Rakyat Dalam Omnibus Law/RUU Cipta Kerja” - KRuHA
Kertas kerja KRuHA yang berjudul  “Tak ada Rakyat di dalam Omnibus Law/ RUU Cipta Kerja “ disusun sejak awal tahun 2020, dimaksudkan sebagai respon terhadap proses dan juga isi dari Omnibus Law/RUU...
kruha.org",rakyat omnibus law rancang undang undang cipta kerja sedia karpet merah mudah investasi disposisi rakyat sumber hambat investasi leta rakyat situasi jajah kertas kerja rakyat omnibus law rancang undang undang cipta kerja kruha kertas kerja kruha judul rakyat omnibus law rancang undang undang cipta kerja susun tahi respons proses isi omnibus law rancang undang undang kruha orang
7,@sekar05vita,0,"Kena macet karena demo tolak RUU Cipta Kerja. Tapi tak apa... Ini cuma kena macet, semoga semua aman dan baikbaik saja yaa.. Semangaaat!!!",kena macet demo tolak rancang undang undang cipta kerja kena macet moga aman ya semang
8,@Dhanank16013664,0,"Membalas 
@DahnilanzarNanti mereka muncul akan dikira penunggang,,,? Lalu dmna suara gerindra kok ga nolak RUU cipta kerja? Jadi ilfill sama sosok wowo yg diam ketika rusuh demo, pdahal beliau mentan eh menhan,,,lupa sy abis menhan kok nanam singkong",balas muncul tunggang suara gerindra tolak rancang undang undang cipta kerja ilfil sosok wowo diam rusuh demo beliau tan menteri tahan lupa habis menteri tahan tanam singkong
9,@hiiyyen,0,"Membalas 
@schfesstrain to busan aja nder, perjuangan melawan ruu cipta kerja eh maksudnya jombi",balas bus sender juang lawan rancang undang undang cipta kerja maksud jombi
10,@MalvaSelena,1,"#6TahunJokowi 
 Pembahasan penyusunan Rancangan Undang-undang (RUU) Omnibus Law Cipta Kerja dinilai sudah melibatkan partisipasi semua pihak, terutama kaum buruh dan pekerja. Bahkan, banyak saran dari kelompok pekerja dan buruh sudah diakomodasi dalam RUU inisiatif pemerintah itu",bahas susun rancang undang undang rancang undang undang omnibus law cipta kerja nilai libat partisipasi kaum buruh kerja saran kelompok kerja buruh akomodasi rancang undang undang inisiatif perintah
11,@begudgerl,0,"Membalas 
@jeonginluvyuTau dah masa sama ruu cipta kerja cpt an ruu:v",balas rancang undang undang cipta kerja cepat an rancang undang undang v
12,@DianRosanti12,0,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya? | Serba-serbi MMCKetua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak dunia bank puji serba serbi mmc ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak dunia bank kesah undang undang cipta kerja minggu rapat larut malam pekan sah rancang undang undang celaka pimpin dewan wakil rakyat men
13,@Jumadi97709906,0,"Gerindra hanya di belakang layar,karena ketua umum nya jadi menteri pertahanan.
Prabowo subianto kemarin jadi oposisi pemerintah sangat keres kritik TKA masuk indonesia,sekarang jadi koalisi pemerintah prabowo bilang ada Orang Asing dalam Demo tolak RUU OMNIBUS LAW CIPTA KERJA.Tweet Kutipan
Dahnil A Simanjuntak
@Dahnilanzar
 · 20 Okt
https://politik.rmol.id/read/2020/10/19/457307/pengamat-ke-mana-demokrat-pks-kami-pasca-demo-kok-yang-muncul-gerindra… Analisa",gerindra layar ketua menteri tahan prabowo subianto kemarin oposisi perintah keras kritik tenaga kerja asing masuk indonesia koalisi perintah prabowo bilang orang asing demo tolak rancang undang undang omnibus law cipta kerja tweet kutip dahnil a simanjuntak oktober
14,@akjailanireal,0,"Illiza Mengaku Tidak Dilibatkan dalam Pengesahan RUU Cipta KerjaIlliza Mengaku Tidak Dilibatkan dalam Pengesahan RUU Cipta Kerja
BANDA ACEH – Hj Illiza Sa’aduddin Djamal sepertinya enggan berbicara seputar pengesahan Omnibus Law UU Cipta Kerja. Meskipun Mantan Wali.....
acehimage.com",illiza aku libat kesah rancang undang undang cipta kerja illiza aku libat kesah rancang undang undang cipta kerja banda aceh haji illiza sa aduddin djamal enggan bicara putar kesah omnibus law undang undang cipta kerja mantan wali
15,@walhinasional,0,"WALHI Menyatakan pengesahan RUU Cipta Kerja merupakan tindakan inkonstitusional dan tidak demokratis yang harus dilawan dengan sehebat-hebatnya
#MosiTidakPercaya 
#WhatsHappeningInIndonesia 
#JRBukanJalanKeluar
#CabutOmnibusLaw 
#BatalkanOmnibuLAWWALHI: Pengkhianatan terhadap Rakyat pada Pengesahan RUU Cipta Kerja
Pelantar.id – DPR RI menggelar rapat paripurna pengesahan RUU Cipta Kerja pada Senin, 5 Oktober 2020. Pengesahan dilakukan secara senyap dan tergesa-gesa menjadi puncak pengkhianatan istana dan...
pelantar.id",walhi kesah rancang undang undang cipta kerja tindak inkonstitusional demokratis lawan hebat hebat khianat rakyat kesah rancang undang undang cipta kerja pelantar dewan wakil rakyat rakyat indonesia gelar rapat paripurna kesah rancang undang undang cipta kerja senin oktober kesah senyap gesa gesa puncak khianat istana pelantar
16,@TIARA2796,1,"REDISTRIBUSI TANAH, REVOLUSI DARI JOKOWI! 

Ada sesuatu yang menarik dari konsep RUU Cipta Kerja. Sebuah langkah revolusioner dalam hak pertanahan yang sudah lama menjadi topik diskursus.
#6tahunjokowi 
#IndonesiaBangkit",redistribusi tanah revolusi jokowi tarik konsep rancang undang undang cipta kerja langkah revolusioner hak tanah topik kursus
17,@Paltiwest,1,"#6TahunJokowi yuk disimak isu-isu penting dalam UU Cipta Kerja.. Dari grafis tim 
@PerekonomianRI
 terlihat jelas loh keterlibatan publik dalam penyusunan RUU Cipta Kerja
@kangdede78
 @tonykojansow",ayo simak isu isu undang undang cipta kerja grafis tim libat publik susun rancang undang undang cipta kerja
18,@hwamyluv,0,"menurut kelompok kami sih Tidak etis, UU Cipta Kerja disahkan dimasa pandemi dimana kondisi dan waktu yang tidak memungkinkan untuk menciptakan dan mengesahkan RUU, karena menyebabkan banyak Pro dan Kontra terhadap UU Cipta Kerja
#Etika4D #AkuntansiPolinema 
@AriKamayanti",kelompok sih etis undang undang cipta kerja sah masa pandemi mana kondisi cipta kesah rancang undang undang sebab pro kontra undang undang cipta kerja
19,@Papuakuindo,1,Hasil survei nasional Saiful Mujani Research Center (SMRC) menyebutkan 52% atau mayoritas masyarakat memberikan dukungan publik terhadap RUU Cipta Kerja. Dukungan ini didasari oleh kondisi ekonomi Indonesia yang semakin memburuk selama masa pandemi.,hasil survei nasional saiful mujani teliti pusat smrc mayoritas masyarakat dukung publik rancang undang undang cipta kerja dukung dasar kondisi ekonomi indonesia buruk pandemi
20,@UmmuVhy,0,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Mem... https://youtu.be/DZmnBOZptuA via 
@YouTubeKetua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak dunia bank mem
