,Handle,Text,Emojis,Comments,Likes,Retweets,remove_user,remove_symbol,remove_duplicate_char,remove_emojis,tweet_clean,thai_account
11,@KRuHA_Indonesia,"“ Tak Ada Rakyat Dalam Omnibus Law/RUU Cipta Kerja”

#OmnibusCilaka tdk saja menyediakan karpet merah bagi kemudahan investasi, tp juga mendisposisi rakyat sbg sumber masalah atau hambatan investasi & kembali meletakan rakyat dlm situasi terjajahKertas Kerja “Tak Ada Rakyat Dalam Omnibus Law/RUU Cipta Kerja” - KRuHA
Kertas kerja KRuHA yang berjudul  “Tak ada Rakyat di dalam Omnibus Law/ RUU Cipta Kerja “ disusun sejak awal tahun 2020, dimaksudkan sebagai respon terhadap proses dan juga isi dari Omnibus Law/RUU...
kruha.org",,,1,1,"“ Tak Ada Rakyat Dalam Omnibus Law/RUU Cipta Kerja”

#OmnibusCilaka tdk saja menyediakan karpet merah bagi kemudahan investasi, tp juga mendisposisi rakyat sbg sumber masalah atau hambatan investasi & kembali meletakan rakyat dlm situasi terjajahKertas Kerja “Tak Ada Rakyat Dalam Omnibus Law/RUU Cipta Kerja” - KRuHA
Kertas kerja KRuHA yang berjudul  “Tak ada Rakyat di dalam Omnibus Law/ RUU Cipta Kerja “ disusun sejak awal tahun 2020, dimaksudkan sebagai respon terhadap proses dan juga isi dari Omnibus Law/RUU...
kruha.org","“ Tak Ada Rakyat Dalam Omnibus Law/RUU Cipta Kerja”

 tdk saja menyediakan karpet merah bagi kemudahan investasi, tp juga mendisposisi rakyat sbg sumber masalah atau hambatan investasi & kembali meletakan rakyat dlm situasi terjajahKertas Kerja “Tak Ada Rakyat Dalam Omnibus Law/RUU Cipta Kerja” - KRuHA
Kertas kerja KRuHA yang berjudul  “Tak ada Rakyat di dalam Omnibus Law/ RUU Cipta Kerja “ disusun sejak awal tahun 2020, dimaksudkan sebagai respon terhadap proses dan juga isi dari Omnibus Law/RUU...
kruha.org","“ Tak Ada Rakyat Dalam Omnibus Law/RUU Cipta Kerja”

 tdk saja menyediakan karpet merah bagi kemudahan investasi, tp juga mendisposisi rakyat sbg sumber masalah atau hambatan investasi & kembali meletakan rakyat dlm situasi terjajahKertas Kerja “Tak Ada Rakyat Dalam Omnibus Law/RUU Cipta Kerja” - KRuHA
Kertas kerja KRuHA yang berjudul  “Tak ada Rakyat di dalam Omnibus Law/ RUU Cipta Kerja “ disusun sejak awal tahun 2020, dimaksudkan sebagai respon terhadap proses dan juga isi dari Omnibus Law/RUU...
kruha.org",tak ada rakyat dalam omnibus law rancangan undang undang cipta kerja tidak saja menyediakan karpet merah bagi kemudahan investasi tapi juga mendisposisi rakyat sebagai sumber masalah atau hambatan investasi kembali meletakan rakyat dalam situasi terjajah kertas kerja tak ada rakyat dalam omnibus law rancangan undang undang cipta kerja kruha kertas kerja kruha yang berjudul tak ada rakyat di dalam omnibus law rancangan undang undang cipta kerja disusun sejak awal tahi dimaksudkan sebagai respons terhadap proses dan juga isi dari omnibus law rancangan undang undang kruha orang,rakyat omnibus law rancang undang undang cipta kerja sedia karpet merah mudah investasi disposisi rakyat sumber hambat investasi leta rakyat situasi jajah kertas kerja rakyat omnibus law rancang undang undang cipta kerja kruha kertas kerja kruha judul rakyat omnibus law rancang undang undang cipta kerja susun tahi respons proses isi omnibus law rancang undang undang kruha orang,False
12,@sekar05vita,"Kena macet karena demo tolak RUU Cipta Kerja. Tapi tak apa... Ini cuma kena macet, semoga semua aman dan baikbaik saja yaa.. Semangaaat!!!",,,1,4,"Kena macet karena demo tolak RUU Cipta Kerja. Tapi tak apa... Ini cuma kena macet, semoga semua aman dan baikbaik saja yaa.. Semangaaat!!!","Kena macet karena demo tolak RUU Cipta Kerja. Tapi tak apa... Ini cuma kena macet, semoga semua aman dan baikbaik saja yaa.. Semangaaat!!!","Kena macet karena demo tolak RUU Cipta Kerja. Tapi tak apa... Ini cuma kena macet, semoga semua aman dan baikbaik saja yaa.. Semang 3t!!!",kena macet karena demo tolak rancangan undang undang cipta kerja tapi tak apa ini cuma kena macet semoga semua aman dan baik baik saja ya semang,kena macet demo tolak rancang undang undang cipta kerja kena macet moga aman ya semang,False
15,@MalvaSelena,"#6TahunJokowi 
 Pembahasan penyusunan Rancangan Undang-undang (RUU) Omnibus Law Cipta Kerja dinilai sudah melibatkan partisipasi semua pihak, terutama kaum buruh dan pekerja. Bahkan, banyak saran dari kelompok pekerja dan buruh sudah diakomodasi dalam RUU inisiatif pemerintah itu",,1.0,7,6,"#6TahunJokowi 
 Pembahasan penyusunan Rancangan Undang-undang (RUU) Omnibus Law Cipta Kerja dinilai sudah melibatkan partisipasi semua pihak, terutama kaum buruh dan pekerja. Bahkan, banyak saran dari kelompok pekerja dan buruh sudah diakomodasi dalam RUU inisiatif pemerintah itu"," 
 Pembahasan penyusunan Rancangan Undang-undang (RUU) Omnibus Law Cipta Kerja dinilai sudah melibatkan partisipasi semua pihak, terutama kaum buruh dan pekerja. Bahkan, banyak saran dari kelompok pekerja dan buruh sudah diakomodasi dalam RUU inisiatif pemerintah itu"," 
 Pembahasan penyusunan Rancangan Undang-undang (RUU) Omnibus Law Cipta Kerja dinilai sudah melibatkan partisipasi semua pihak, terutama kaum buruh dan pekerja. Bahkan, banyak saran dari kelompok pekerja dan buruh sudah diakomodasi dalam RUU inisiatif pemerintah itu",pembahasan penyusunan rancangan undang undang rancangan undang undang omnibus law cipta kerja dinilai sudah melibatkan partisipasi semua pihak terutama kaum buruh dan pekerja bahkan banyak saran dari kelompok pekerja dan buruh sudah diakomodasi dalam rancangan undang undang inisiatif pemerintah itu,bahas susun rancang undang undang rancang undang undang omnibus law cipta kerja nilai libat partisipasi kaum buruh kerja saran kelompok kerja buruh akomodasi rancang undang undang inisiatif perintah,False
32,@walhinasional,"WALHI Menyatakan pengesahan RUU Cipta Kerja merupakan tindakan inkonstitusional dan tidak demokratis yang harus dilawan dengan sehebat-hebatnya
#MosiTidakPercaya 
#WhatsHappeningInIndonesia 
#JRBukanJalanKeluar
#CabutOmnibusLaw 
#BatalkanOmnibuLAWWALHI: Pengkhianatan terhadap Rakyat pada Pengesahan RUU Cipta Kerja
Pelantar.id – DPR RI menggelar rapat paripurna pengesahan RUU Cipta Kerja pada Senin, 5 Oktober 2020. Pengesahan dilakukan secara senyap dan tergesa-gesa menjadi puncak pengkhianatan istana dan...
pelantar.id",,,5,9,"WALHI Menyatakan pengesahan RUU Cipta Kerja merupakan tindakan inkonstitusional dan tidak demokratis yang harus dilawan dengan sehebat-hebatnya
#MosiTidakPercaya 
#WhatsHappeningInIndonesia 
#JRBukanJalanKeluar
#CabutOmnibusLaw 
#BatalkanOmnibuLAWWALHI: Pengkhianatan terhadap Rakyat pada Pengesahan RUU Cipta Kerja
Pelantar.id – DPR RI menggelar rapat paripurna pengesahan RUU Cipta Kerja pada Senin, 5 Oktober 2020. Pengesahan dilakukan secara senyap dan tergesa-gesa menjadi puncak pengkhianatan istana dan...
pelantar.id","WALHI Menyatakan pengesahan RUU Cipta Kerja merupakan tindakan inkonstitusional dan tidak demokratis yang harus dilawan dengan sehebat-hebatnya
 
 

 
: Pengkhianatan terhadap Rakyat pada Pengesahan RUU Cipta Kerja
Pelantar.id – DPR RI menggelar rapat paripurna pengesahan RUU Cipta Kerja pada Senin, 5 Oktober 2020. Pengesahan dilakukan secara senyap dan tergesa-gesa menjadi puncak pengkhianatan istana dan...
pelantar.id","WALHI Menyatakan pengesahan RUU Cipta Kerja merupakan tindakan inkonstitusional dan tidak demokratis yang harus dilawan dengan sehebat-hebatnya
 
 

 
: Pengkhianatan terhadap Rakyat pada Pengesahan RUU Cipta Kerja
Pelantar.id – DPR RI menggelar rapat paripurna pengesahan RUU Cipta Kerja pada Senin, 5 Oktober 2020. Pengesahan dilakukan secara senyap dan tergesa-gesa menjadi puncak pengkhianatan istana dan...
pelantar.id",walhi menyatakan pengesahan rancangan undang undang cipta kerja merupakan tindakan inkonstitusional dan tidak demokratis yang harus dilawan dengan sehebat hebatnya pengkhianatan terhadap rakyat pada pengesahan rancangan undang undang cipta kerja pelantar  dewan perwakilan rakyat rakyat indonesia menggelar rapat paripurna pengesahan rancangan undang undang cipta kerja pada senin oktober pengesahan dilakukan secara senyap dan tergesa gesa menjadi puncak pengkhianatan istana dan pelantar ,walhi kesah rancang undang undang cipta kerja tindak inkonstitusional demokratis lawan hebat hebat khianat rakyat kesah rancang undang undang cipta kerja pelantar dewan wakil rakyat rakyat indonesia gelar rapat paripurna kesah rancang undang undang cipta kerja senin oktober kesah senyap gesa gesa puncak khianat istana pelantar,False
33,@TIARA2796,"REDISTRIBUSI TANAH, REVOLUSI DARI JOKOWI! 

Ada sesuatu yang menarik dari konsep RUU Cipta Kerja. Sebuah langkah revolusioner dalam hak pertanahan yang sudah lama menjadi topik diskursus.
#6tahunjokowi 
#IndonesiaBangkit",,1.0,3,4,"REDISTRIBUSI TANAH, REVOLUSI DARI JOKOWI! 

Ada sesuatu yang menarik dari konsep RUU Cipta Kerja. Sebuah langkah revolusioner dalam hak pertanahan yang sudah lama menjadi topik diskursus.
#6tahunjokowi 
#IndonesiaBangkit","REDISTRIBUSI TANAH, REVOLUSI DARI JOKOWI! 

Ada sesuatu yang menarik dari konsep RUU Cipta Kerja. Sebuah langkah revolusioner dalam hak pertanahan yang sudah lama menjadi topik diskursus.
 
","REDISTRIBUSI TANAH, REVOLUSI DARI JOKOWI! 

Ada sesuatu yang menarik dari konsep RUU Cipta Kerja. Sebuah langkah revolusioner dalam hak pertanahan yang sudah lama menjadi topik diskursus.
 
",redistribusi tanah revolusi dari jokowi ada sesuatu yang menarik dari konsep rancangan undang undang cipta kerja sebuah langkah revolusioner dalam hak pertanahan yang sudah lama menjadi topik kursus,redistribusi tanah revolusi jokowi tarik konsep rancang undang undang cipta kerja langkah revolusioner hak tanah topik kursus,False
34,@Paltiwest,"#6TahunJokowi yuk disimak isu-isu penting dalam UU Cipta Kerja.. Dari grafis tim 
@PerekonomianRI
 terlihat jelas loh keterlibatan publik dalam penyusunan RUU Cipta Kerja
@kangdede78
 @tonykojansow",☕,,8,8,"#6TahunJokowi yuk disimak isu-isu penting dalam UU Cipta Kerja.. Dari grafis tim 

 terlihat jelas loh keterlibatan publik dalam penyusunan RUU Cipta Kerja

 "," yuk disimak isu-isu penting dalam UU Cipta Kerja.. Dari grafis tim 

 terlihat jelas loh keterlibatan publik dalam penyusunan RUU Cipta Kerja

 "," yuk disimak isu-isu penting dalam UU Cipta Kerja.. Dari grafis tim 

 terlihat jelas loh keterlibatan publik dalam penyusunan RUU Cipta Kerja

 ",ayo disimak isu isu penting dalam undang undang cipta kerja dari grafis tim terlihat jelas  keterlibatan publik dalam penyusunan rancangan undang undang cipta kerja,ayo simak isu isu undang undang cipta kerja grafis tim libat publik susun rancang undang undang cipta kerja,False
41,@SINDOnews,"RUU Cipta Kerja Sah Jadi UU, Ini Deretan Dampak Buruknya bagi RakyatRUU Cipta Kerja Sah Jadi UU, Ini Deretan Dampak Buruknya bagi Rakyat
Pakar Hukum asal Universitas Trisakti, Abdul Fickar Hadjar mengatakan pernyataannya Ketua DPR, Puan Maharani yang menyebut...
nasional.sindonews.com",,,7,6,"RUU Cipta Kerja Sah Jadi UU, Ini Deretan Dampak Buruknya bagi RakyatRUU Cipta Kerja Sah Jadi UU, Ini Deretan Dampak Buruknya bagi Rakyat
Pakar Hukum asal Universitas Trisakti, Abdul Fickar Hadjar mengatakan pernyataannya Ketua DPR, Puan Maharani yang menyebut...
nasional.sindonews.com","RUU Cipta Kerja Sah Jadi UU, Ini Deretan Dampak Buruknya bagi RakyatRUU Cipta Kerja Sah Jadi UU, Ini Deretan Dampak Buruknya bagi Rakyat
Pakar Hukum asal Universitas Trisakti, Abdul Fickar Hadjar mengatakan pernyataannya Ketua DPR, Puan Maharani yang menyebut...
nasional.sindonews.com","RUU Cipta Kerja Sah Jadi UU, Ini Deretan Dampak Buruknya bagi RakyatRUU Cipta Kerja Sah Jadi UU, Ini Deretan Dampak Buruknya bagi Rakyat
Pakar Hukum asal Universitas Trisakti, Abdul Fickar Hadjar mengatakan pernyataannya Ketua DPR, Puan Maharani yang menyebut...
nasional.sindonews.com",rancangan undang undang cipta kerja sah jadi undang undang ini deretan dampak buruknya bagi rakyat rancangan undang undang cipta kerja sah jadi undang undang ini deretan dampak buruknya bagi rakyat pakar hukum asal universitas trisakti abdul fickar hadjar mengatakan pernyataannya ketua dewan perwakilan rakyat puan maharani yang menyebut nasional,rancang undang undang cipta kerja sah undang undang deret dampak buruk rakyat rancang undang undang cipta kerja sah undang undang deret dampak buruk rakyat pakar hukum universitas trisakti abdul fickar hadjar nyata ketua dewan wakil rakyat puan maharani sebut nasional,False
99,@PSHKIndonesia,"Op-ed: Apabila kita tidak ingin mengulangi proses buruk  yg terjadi pada UU Cipta Kerja, kita harus meninjau ulang penggunaan metode ini. Apalagi masih ada tiga RUU yg akan menggunakan metode omnibus

Simak opini peneliti kami, Nabila via 
@ConversationIDNSelain Cipta Kerja, ada tiga omnibus law lain yang menunggu disahkan. Apa layak diteruskan?
Penggunaan metode _omnibus law_ dalam perundang-undangmemiliki banyak masalah, harus ditinjau ulang.
theconversation.com",,,3,9,"Op-ed: Apabila kita tidak ingin mengulangi proses buruk  yg terjadi pada UU Cipta Kerja, kita harus meninjau ulang penggunaan metode ini. Apalagi masih ada tiga RUU yg akan menggunakan metode omnibus

Simak opini peneliti kami, Nabila via 
 Cipta Kerja, ada tiga omnibus law lain yang menunggu disahkan. Apa layak diteruskan?
Penggunaan metode _omnibus law_ dalam perundang-undangmemiliki banyak masalah, harus ditinjau ulang.
theconversation.com","Op-ed: Apabila kita tidak ingin mengulangi proses buruk  yg terjadi pada UU Cipta Kerja, kita harus meninjau ulang penggunaan metode ini. Apalagi masih ada tiga RUU yg akan menggunakan metode omnibus

Simak opini peneliti kami, Nabila via 
 Cipta Kerja, ada tiga omnibus law lain yang menunggu disahkan. Apa layak diteruskan?
Penggunaan metode _omnibus law_ dalam perundang-undangmemiliki banyak masalah, harus ditinjau ulang.
theconversation.com","Op-ed: Apabila kita tidak ingin mengulangi proses buruk  yg terjadi pada UU Cipta Kerja, kita harus meninjau ulang penggunaan metode ini. Apalagi masih ada tiga RUU yg akan menggunakan metode omnibus

Simak opini peneliti kami, Nabila via 
 Cipta Kerja, ada tiga omnibus law lain yang menunggu disahkan. Apa layak diteruskan?
Penggunaan metode _omnibus law_ dalam perundang-undangmemiliki banyak masalah, harus ditinjau ulang.
theconversation.com",op  apabila kita tidak ingin mengulangi proses buruk yang terjadi pada undang undang cipta kerja kita harus meninjau ulang penggunaan metode ini apalagi masih ada tiga rancangan undang undang yang akan menggunakan metode omnibus simak opini peneliti kami nabila melalui cipta kerja ada tiga omnibus law lain yang menunggu disahkan apa layak diteruskan penggunaan metode _omnibus law_ dalam perundang undang memiliki banyak masalah harus ditinjau ulang,op ulang proses buruk undang undang cipta kerja tinjau ulang guna metode rancang undang undang metode omnibus simak opini teliti nabila cipta kerja omnibus law tunggu sah layak terus guna metode omnibus law undang undang milik tinjau ulang,False
100,@Mahadewi68,"JKP tertuang dalam pasal selipan pasal baru, yakni Pasal 46A RUU Cipta Kerja. Bagian dari omnibus law ini merevisi UU No 40 Th 2004 tentang SJSN. Pekerja/buruh yg mengalami PHK berhak mendapatkan JKP melalui BPJS Ketenagakerjaan.
OmnibusLaw Mantul Beut
#CiptaKerjaDemiRakyat
4",,1.0,12,12,"JKP tertuang dalam pasal selipan pasal baru, yakni Pasal 46A RUU Cipta Kerja. Bagian dari omnibus law ini merevisi UU No 40 Th 2004 tentang SJSN. Pekerja/buruh yg mengalami PHK berhak mendapatkan JKP melalui BPJS Ketenagakerjaan.
OmnibusLaw Mantul Beut
#CiptaKerjaDemiRakyat
4","JKP tertuang dalam pasal selipan pasal baru, yakni Pasal 46A RUU Cipta Kerja. Bagian dari omnibus law ini merevisi UU No 40 Th 2004 tentang SJSN. Pekerja/buruh yg mengalami PHK berhak mendapatkan JKP melalui BPJS Ketenagakerjaan.
OmnibusLaw Mantul Beut

4","JKP tertuang dalam pasal selipan pasal baru, yakni Pasal 46A RUU Cipta Kerja. Bagian dari omnibus law ini merevisi UU No 40 Th 2004 tentang SJSN. Pekerja/buruh yg mengalami PHK berhak mendapatkan JKP melalui BPJS Ketenagakerjaan.
OmnibusLaw Mantul Beut

4",jaminan kehilangan pekerjaan tertuang dalam pasal selipan pasal baru yakni pasal rancangan undang undang cipta kerja bagian dari omnibus law ini merevisi undang undang tidak tahun tentang sistem jaminan sosial nasional pekerja buruh yang mengalami phk berhak mendapatkan jaminan kehilangan pekerjaan melalui badan penyelenggara jaminan sosial ketenagakerjaan omnibus law mantap betul banget,jamin hilang kerja tuang pasal selip pasal pasal rancang undang undang cipta kerja omnibus law revisi undang undang sistem jamin sosial nasional kerja buruh alami phk hak jamin hilang kerja badan selenggara jamin sosial ketenagakerjaan omnibus law mantap banget,False
107,@Evanescentbby,"Kebijakan Satu Peta RUU Cipta Kerja Juga mengatur dan menetapkan kebijakan satu peta (one map policy). Kebijakan dituangkan dalam Rencana Tata Ruang Wilayah (RTRW).darat,laut pesisir pulau-pulau kecil,serta tata ruang kawasan terutama hutan akan terintegrasi
#CiptaKerjaDemiRakyat",,,1,1,"Kebijakan Satu Peta RUU Cipta Kerja Juga mengatur dan menetapkan kebijakan satu peta (one map policy). Kebijakan dituangkan dalam Rencana Tata Ruang Wilayah (RTRW).darat,laut pesisir pulau-pulau kecil,serta tata ruang kawasan terutama hutan akan terintegrasi
#CiptaKerjaDemiRakyat","Kebijakan Satu Peta RUU Cipta Kerja Juga mengatur dan menetapkan kebijakan satu peta (one map policy). Kebijakan dituangkan dalam Rencana Tata Ruang Wilayah (RTRW).darat,laut pesisir pulau-pulau kecil,serta tata ruang kawasan terutama hutan akan terintegrasi
","Kebijakan Satu Peta RUU Cipta Kerja Juga mengatur dan menetapkan kebijakan satu peta (one map policy). Kebijakan dituangkan dalam Rencana Tata Ruang Wilayah (RTRW).darat,laut pesisir pulau-pulau kecil,serta tata ruang kawasan terutama hutan akan terintegrasi
",kebijakan satu peta rancangan undang undang cipta kerja juga mengatur dan menetapkan kebijakan satu peta one map polisi kebijakan dituangkan dalam rencana tata ruang wilayah rencana tata ruang wilayah darat laut pesisir pulau pulau kecil serta tata ruang kawasan terutama hutan akan terintegrasi,bijak peta rancang undang undang cipta kerja atur tetap bijak peta one map polisi bijak tuang rencana tata ruang wilayah rencana tata ruang wilayah darat laut pesisir pulau pulau tata ruang kawasan hutan integrasi,False
