,user_account,tweet,clean_tweet,sentimen
0,@RahmaFathiyyah,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya? | Serba-serbi MMC

Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini.",ketua dewan wakil rakyat draf rancang undang undang cipta kerja cek acak dunia bank puji serba serbi mmc kesah undang undang cipta kerja minggu rapat larut malam pekan sah rancang undang undang celaka,0
1,@Hendria04991579,"Jurus kilat ala sistem kebut skripsi layaknya mahasiswa semester tua, RUU Omnibus Law ini ngebet dan ngebut digarap di Senayan.  Fixed, RUU Cipta Kerja disahkan menjadi UU Ciptaker dalam sidang paripurna yang hasilnya jauh dari kata sempurna.
#OmnibusLawSengsarakanPerempuan",jurus kilat ala sistem kebut skripsi layak mahasiswa semester tua rancang undang undang omnibus law ngebet kebut garap senayan rancang undang undang cipta kerja sah undang undang cipta kerja sidang paripurna hasil sempurna,0
2,@anis34216465,"Sudah jatuh tertimpa tangga. Bebas Covid-19 jauh panggang dari api, palu diketok masuk resesi, pemerintah gerak cepat kirim “kado” pengesahan RUU Cipta Kerja.
#OmnibusLawSengsarakanPerempuan",jatuh timpa tangga bebas covid panggang api palu ketok masuk resesi perintah gerak cepat kirim kado kesah rancang undang undang cipta kerja,0
4,@EkoFirman15,"Mahasiswa cerdas . Pelajaran i dulu RUU CIPTA KERJA onimboslaw.Tweet Kutipan
Santorini
@SantorinisSun
 · 20 Okt
Silahkan menyuarakan aspirasi...soalnya diatur ama undang2.
Upayakan menjaga jarak...soalnya si COVID ga ada yg bisa ngatur!
Memaksakan demo di masa pandemi sangatlah tdk bijak!
Karena ujungnya si COVID yg akan ter-bahak2!
#herdimmunity
oto.detik.com/berita/d-52203…",mahasiswa cerdas ajar rancang undang undang cipta kerja omnibus law tweet kutip santorini oktober silah suara aspirasi atur upaya jaga jarak si covid atur paksa demo pandemi bijak ujung si covid ter oto berita d,1
5,@beereciel,"tapi kalau topik ruu cipta kerja,,, SEBERAPA BANYAK ITUUU MAMPUS AJA",topik rancang undang undang cipta kerja mampus,0
6,@KRuHA_Indonesia,"“ Tak Ada Rakyat Dalam Omnibus Law/RUU Cipta Kerja”

#OmnibusCilaka tdk saja menyediakan karpet merah bagi kemudahan investasi, tp juga mendisposisi rakyat sbg sumber masalah atau hambatan investasi & kembali meletakan rakyat dlm situasi terjajahKertas Kerja “Tak Ada Rakyat Dalam Omnibus Law/RUU Cipta Kerja” - KRuHA
Kertas kerja KRuHA yang berjudul  “Tak ada Rakyat di dalam Omnibus Law/ RUU Cipta Kerja “ disusun sejak awal tahun 2020, dimaksudkan sebagai respon terhadap proses dan juga isi dari Omnibus Law/RUU...
kruha.org",rakyat omnibus law rancang undang undang cipta kerja sedia karpet merah mudah investasi disposisi rakyat sumber hambat investasi leta rakyat situasi jajah kertas kerja rakyat omnibus law rancang undang undang cipta kerja kruha kertas kerja kruha judul rakyat omnibus law rancang undang undang cipta kerja susun tahi respons proses isi omnibus law rancang undang undang kruha orang,0
7,@sekar05vita,"Kena macet karena demo tolak RUU Cipta Kerja. Tapi tak apa... Ini cuma kena macet, semoga semua aman dan baikbaik saja yaa.. Semangaaat!!!",kena macet demo tolak rancang undang undang cipta kerja kena macet moga aman ya semang,0
8,@Dhanank16013664,"Membalas 
@DahnilanzarNanti mereka muncul akan dikira penunggang,,,? Lalu dmna suara gerindra kok ga nolak RUU cipta kerja? Jadi ilfill sama sosok wowo yg diam ketika rusuh demo, pdahal beliau mentan eh menhan,,,lupa sy abis menhan kok nanam singkong",balas muncul tunggang suara gerindra tolak rancang undang undang cipta kerja ilfil sosok wowo diam rusuh demo beliau tan menteri tahan lupa habis menteri tahan tanam singkong,0
9,@hiiyyen,"Membalas 
@schfesstrain to busan aja nder, perjuangan melawan ruu cipta kerja eh maksudnya jombi",balas bus sender juang lawan rancang undang undang cipta kerja maksud jombi,0
10,@MalvaSelena,"#6TahunJokowi 
 Pembahasan penyusunan Rancangan Undang-undang (RUU) Omnibus Law Cipta Kerja dinilai sudah melibatkan partisipasi semua pihak, terutama kaum buruh dan pekerja. Bahkan, banyak saran dari kelompok pekerja dan buruh sudah diakomodasi dalam RUU inisiatif pemerintah itu",bahas susun rancang undang undang rancang undang undang omnibus law cipta kerja nilai libat partisipasi kaum buruh kerja saran kelompok kerja buruh akomodasi rancang undang undang inisiatif perintah,1
11,@begudgerl,"Membalas 
@jeonginluvyuTau dah masa sama ruu cipta kerja cpt an ruu:v",balas rancang undang undang cipta kerja cepat an rancang undang undang v,0
