,user_account,tweet,label
1490,@vanyadeliaaa,"kalo emg mau demo krn RUU Cipta Kerja yaudah demo keluarin pendapat gitu, knp harus ngerusak fasilitas umum sih sedih bgt gue liat monas diserang gt anjir",0.0
701,@blessed19_,"Pakar Hukum: Omnibus Law, RUU Cipta Kerja merupakan jalan keluar atasi persoalan ekonomi #OmnibusLawUntungkanBuruh",1.0
978,@SamsulA81898682,"Membalas 
@budimandjatmikoNggak akan rusuh dan nggak akan rasis kalau anggota DPR dan presiden mensyahkan RUU cipta kerja",1.0
848,@MalvaSelena,"Dalam pembahasan RUU Cipta Kerja juga melibatkan buruh dan serikat pekerja.
#OmnibusLawTaatProsedural",1.0
470,@herditiya1,"Petani dan Nelayan Berkeberatan dengan RUU Cipta KerjaPetani dan Nelayan Berkeberatan dengan RUU Cipta Kerja
Perubahan sejumlah substansi undang-undang dalam RUU Cipta Kerja dinilai merugikan petani dan nelayan. Tak hanya usaha mereka, pelonggaran mengancam kedaulatan pangan.
kompas.id",0.0
1656,@Anprimoko,"Membalas 
@raden_aditya_Masih sama demo nolak RUU Cipta kerja, tapi pendemonya bukan dari buruh melaikan dari FPI dan Ormas 212.",1.0
1792,@AntoniusNiander,"Draf RUU Cipta Kerja Diperbarui Lagi, Berubah Jadi 812 Halaman

Download aplikasi http://Kompas.com untuk akses berita lebih mudah dan cepat: 
Android: https://bit.ly/39CkIQ0 
iOS: https://apple.co/2Pa5dFm

Klik untuk baca: https://nasional.kompas.com/read/2020/10/13/07043321/draf-ruu-cipta-kerja-diperbarui-lagi-berubah-jadi-812-halaman…Berita Terkini Hari Ini, Kabar Akurat Terpercaya - Kompas.com
Kompas.com - Berita Indonesia dan Dunia Terkini Hari Ini, Kabar Harian Terbaru Terpercaya Terlengkap Seputar Politik, Ekonomi, Travel, Teknologi, Otomotif, Bola
kompas.com",1.0
1436,@JKTFIKS,"Ini 
@TjahjantoHadi
 gak berani ambil jendral yg ketua kami itu ya? Ini jelas2 makar memanfaatkan kondisi RUU cipta kerja hahahaTweet Kutipan
Anak Kolong™|
@AnakKolong_
 · 13 Okt
MAU MENGGULINGKAN PEMERINTAH YANG SAH | dan media komunikasinya masih ""pake"" GRUP WA. 
.
.
TAPI BISA DIPAHAMI KARENA PIMPINAN KAMI, SATU - SATUNYA PANGLIMA YANG BODOH DALAM SEJARAH. 
.
.
.
https://news.detik.com/berita/d-5212201/polri-ngeri-baca-isi-wa-group-kami-pantas-di-lapangan-terjadi-anarki…",0.0
352,@PolsekTeluk,"Testimoni Tokoh Pemuda Bpk. JUNAIDY NASUTION Ketua ranting PP Desa Sei Buluh Kec. Teluk Mengkudu berisi himbauan  untuk meluruskan/tangkal hoax RUU Cipta Kerja, bijak gunakan medsos serta mengikuti protokol kesehatan.
#IndonesiaDamai
#IndonesiaMaju",1.0
1751,@Joni14468736,Fata RUU Cipta Kerja,1.0
