,user_account,tweet,label,tweet_clean,tweet_token,tf_dict
695,@Sinyaljelek2,"Tiga klausul baru dalam RUU Cipta Kerja tersebut adalah, uang kompensasi untuk pekerja kontrak atau PWKT, Jaminan kehilangan pekerjaan  | Kalahkan Pandemi
#RakyatBersamaOmnibusLaw",1,klausul rancang undang undang cipta kerja uang kompensasi kerja kontrak janji kerja jamin hilang kerja kalah pandemi,"['klausul', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'uang', 'kompensasi', 'kerja', 'kontrak', 'janji', 'kerja', 'jamin', 'hilang', 'kerja', 'kalah', 'pandemi']","{'klausul': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 4, 'uang': 1, 'kompensasi': 1, 'kontrak': 1, 'janji': 1, 'jamin': 1, 'hilang': 1, 'kalah': 1, 'pandemi': 1}"
155,@Dreyacomm,"Mulai ada titik terang dari RUU Cipta Kerja nih.. semoga hasilnya bisa membantu masyarakat ya bukan untuk menyusahkan. 
#omnibuslawciptalapangankerja 
#ruuciptakerja https://instagram.com/p/CGTh_3fHMQ1/?igshid=6d5db57ntsa6…",1,titik terang rancang undang undang cipta kerja moga hasil bantu masyarakat ya susah,"['titik', 'terang', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'moga', 'hasil', 'bantu', 'masyarakat', 'ya', 'susah']","{'titik': 1, 'terang': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'moga': 1, 'hasil': 1, 'bantu': 1, 'masyarakat': 1, 'ya': 1, 'susah': 1}"
380,@JamesHitler19,"Naskah final UU Cipta Kerja tdk  akan berbeda dari keputusan Panitia Kerja RUU Ciptaker Setelah dilakukan finalisasi, substansi UU Ciptaker tdk ada yg berubah, karena finalisasi tsbt hanya berupa hal teknis sprt memperbaiki kesalahan kecil dlm pengetikan. https://partainasdem.id/read/11760/2020/10/14/uu-cipta-kerja-tidak-keluar-jalur…Partai NasDem dan 9 lainnya",1,naskah final undang undang cipta kerja beda putus panitia kerja rancang undang undang cipta kerja final substansi undang undang cipta kerja ubah final teknis baik salah keti,"['naskah', 'final', 'undang', 'undang', 'cipta', 'kerja', 'beda', 'putus', 'panitia', 'kerja', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'final', 'substansi', 'undang', 'undang', 'cipta', 'kerja', 'ubah', 'final', 'teknis', 'baik', 'salah', 'keti']","{'naskah': 1, 'final': 3, 'undang': 6, 'cipta': 3, 'kerja': 4, 'beda': 1, 'putus': 1, 'panitia': 1, 'rancang': 1, 'substansi': 1, 'ubah': 1, 'teknis': 1, 'baik': 1, 'salah': 1, 'keti': 1}"
94,@HaytllhKhumaini,"Apa peramal sudah baca RUU Cipta kerjaTweet Kutipan
Muhammad Said Didu
@msaid_didu
 · 15 Okt
Hasil nyata twitter.com/CNNIndonesia/s…",1,amal baca rancang undang undang cipta kerja tweet kutip muhammad said oktober hasil nyata cnn indonesia s,"['amal', 'baca', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'tweet', 'kutip', 'muhammad', 'said', 'oktober', 'hasil', 'nyata', 'cnn', 'indonesia', 's']","{'amal': 1, 'baca': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'tweet': 1, 'kutip': 1, 'muhammad': 1, 'said': 1, 'oktober': 1, 'hasil': 1, 'nyata': 1, 'cnn': 1, 'indonesia': 1, 's': 1}"
365,@jalanin_yuk,"Hari ini mahasiswa berkumpul dan meneruskan aksi tolak RUU Cipta Kerja.

adik2..terimakasih ya.
Saya titip aspirasi saya,semoga ada hasilnya dan please tetep pake masker.

oiya satu lagi,pastikan kalian sudah baca draft RUU nya,jangan demo doang tanpa baca",0,mahasiswa kumpul terus aksi tolak rancang undang undang cipta kerja terima kasih ya titip aspirasi moga hasil tolong pakai masker oh iya pasti baca draf rancang undang undang demo doang baca,"['mahasiswa', 'kumpul', 'terus', 'aksi', 'tolak', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'terima', 'kasih', 'ya', 'titip', 'aspirasi', 'moga', 'hasil', 'tolong', 'pakai', 'masker', 'oh', 'iya', 'pasti', 'baca', 'draf', 'rancang', 'undang', 'undang', 'demo', 'doang', 'baca']","{'mahasiswa': 1, 'kumpul': 1, 'terus': 1, 'aksi': 1, 'tolak': 1, 'rancang': 2, 'undang': 4, 'cipta': 1, 'kerja': 1, 'terima': 1, 'kasih': 1, 'ya': 1, 'titip': 1, 'aspirasi': 1, 'moga': 1, 'hasil': 1, 'tolong': 1, 'pakai': 1, 'masker': 1, 'oh': 1, 'iya': 1, 'pasti': 1, 'baca': 2, 'draf': 1, 'demo': 1, 'doang': 1}"
1153,@LpSiborong,"2.Secara resmi, Menteri 
@PerekonomianRI
 telah menetapkan Panitia Antar Kementerian dan/atau Antar NonKementerian dalam Penyusunan RUU tentang Cipta Lapangan Kerja pada tanggal 23 Oktober 2019 yang dipimpinoleh Sekretaris Menko
#KumhamPasti
#OmnibusLawTaatProsedural
#Kumham22Kanwil Kemenkumham Sumut dan 3 lainnya",1,resmi menteri tetap panitia menteri nonkementerian susun rancang undang undang cipta lapang kerja tanggal oktober pimpin sekretaris menteri koordinator kemenkumham sumatera utara,"['resmi', 'menteri', 'tetap', 'panitia', 'menteri', 'nonkementerian', 'susun', 'rancang', 'undang', 'undang', 'cipta', 'lapang', 'kerja', 'tanggal', 'oktober', 'pimpin', 'sekretaris', 'menteri', 'koordinator', 'kemenkumham', 'sumatera', 'utara']","{'resmi': 1, 'menteri': 3, 'tetap': 1, 'panitia': 1, 'nonkementerian': 1, 'susun': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'lapang': 1, 'kerja': 1, 'tanggal': 1, 'oktober': 1, 'pimpin': 1, 'sekretaris': 1, 'koordinator': 1, 'kemenkumham': 1, 'sumatera': 1, 'utara': 1}"
342,@Em_7015,"Membalas 
@Kita_AMLTFIni artinya RUU cipta kerja terutama mengenai pasal² perijinan yg dipermudah benar² mempersempit gerak koruptor ya AMLmin",1,balas rancang undang undang cipta kerja pasal izin mudah sempit gerak koruptor ya amlmin,"['balas', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'pasal', 'izin', 'mudah', 'sempit', 'gerak', 'koruptor', 'ya', 'amlmin']","{'balas': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'pasal': 1, 'izin': 1, 'mudah': 1, 'sempit': 1, 'gerak': 1, 'koruptor': 1, 'ya': 1, 'amlmin': 1}"
104,@PPITaiwan,Mari membuka jendela dan perspektif baru dari narasumber Bee Talk’s episode 01 ini mengenai RUU Cipta Kerja melalui link berikut https://youtu.be/PIsG19MZ09k #PPITaiwan #BEE #kabinethexagon #BeeTalks,1,mari buka jendela perspektif narasumber bicara s episode rancang undang undang cipta kerja link,"['mari', 'buka', 'jendela', 'perspektif', 'narasumber', 'bicara', 's', 'episode', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'link']","{'mari': 1, 'buka': 1, 'jendela': 1, 'perspektif': 1, 'narasumber': 1, 'bicara': 1, 's': 1, 'episode': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'link': 1}"
1169,@Sundaarii,"Pemerintah dan DPR RI diminta untuk segera merampungkan pembahasan Omnibus Law Rancangan Undang-Undang (RUU) Cipta Kerja agar dapat disahkan. 
http://rmolsumsel.id/2020/05/07/rakyat-butuh-lapangan-kerja-ruu-ciptaker-dibutuhkan-pasca-covid-19/…
Atasi Pandemi
#RakyatButuhUUCiptaKerjaRakyat Butuh Lapangan Kerja, RUU Ciptaker Dibutuhkan Pasca Covid-19 - RMOLSUMSEL
Pemerintah dan DPR RI diminta untuk segera merampungkan pembahasan Omnibus Law Rancangan Undang-Undang (RUU) Cipta Kerja agar dapat disahkan. Undang-undang tersebut akan sangat dibutuhkan untuk...
rmolsumsel.id",1,perintah dewan wakil rakyat rakyat indonesia rampung bahas omnibus law rancang undang undang rancang undang undang cipta kerja sah,"['perintah', 'dewan', 'wakil', 'rakyat', 'rakyat', 'indonesia', 'rampung', 'bahas', 'omnibus', 'law', 'rancang', 'undang', 'undang', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'sah']","{'perintah': 1, 'dewan': 1, 'wakil': 1, 'rakyat': 2, 'indonesia': 1, 'rampung': 1, 'bahas': 1, 'omnibus': 1, 'law': 1, 'rancang': 2, 'undang': 4, 'cipta': 1, 'kerja': 1, 'sah': 1}"
1494,@Cardina75981802,"RUU Cipta Kerja telah resmi disahkan menjadi Undang-Undang. Meskipun terdapat banyak penolakan dari berbagai piha...Teteh Bigos di BaBe
RUU Cipta Kerja telah resmi disahkan menjadi Undang-Undang. Meskipun terdapat banyak penolakan dari berbagai pihak, tidak membuat pengesahan RUU tersebut ditunda . Ketua DPR Puan Maharani menyebutkan...
babe.news",1,rancang undang undang cipta kerja resmi sah undang undang tolak teteh biang gosip ayah rancang undang undang cipta kerja resmi sah undang undang tolak kesah rancang undang undang tunda ketua dewan wakil rakyat puan maharani ayah news,"['rancang', 'undang', 'undang', 'cipta', 'kerja', 'resmi', 'sah', 'undang', 'undang', 'tolak', 'teteh', 'biang', 'gosip', 'ayah', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'resmi', 'sah', 'undang', 'undang', 'tolak', 'kesah', 'rancang', 'undang', 'undang', 'tunda', 'ketua', 'dewan', 'wakil', 'rakyat', 'puan', 'maharani', 'ayah', 'news']","{'rancang': 3, 'undang': 10, 'cipta': 2, 'kerja': 2, 'resmi': 2, 'sah': 2, 'tolak': 2, 'teteh': 1, 'biang': 1, 'gosip': 1, 'ayah': 2, 'kesah': 1, 'tunda': 1, 'ketua': 1, 'dewan': 1, 'wakil': 1, 'rakyat': 1, 'puan': 1, 'maharani': 1, 'news': 1}"
