from;to
ga;tidak
tk;tidak
sy;saya
ad;ada
ri;rakyat indonesia
uu;undang undang
yg;yang
yng;yang
aq;saya
sya;saya
sdr;saudara
sdh;sudah
stu;satu
sgt;sangat
ama;sama
ma;sama
sm;sama
ame;sama
slh;salah
aja;saja
aj;saja
sj;saja
aza;saja
ja;saja
az;saja
aje;saja
ajj;saja
rmh;rumah
rb;ribu
rbu;ribu
rkn;rekan
rg;ragu
pny;punya
due;punya
plg;paling
bct;banyak bicara
tar;nanti
ntr;nanti
mgk;mungkin
emg;memang
mmg;memang
utk;untuk
ruu;rancangan undang undang
dpr;dewan perwakilan rakyat
pdi;partai demokrasi indonesia
tu;itu
tuh;itu
eta;itu
dg;dengan
dgn;dengan
eps;episode
tka;tenaga kerja asing
umkm;usaha mikro kecil menengah
bs;bisa
trus;terus
btw;omong omong
byk;banyak
kalean;kalian
pd;pada
jd;jadi
knp;kenapa
kw;palsu
bhw;bahwa
hny;hanya
beut;banget
mantul;mantap betul
org;orang
dlm;dalam
krn;karna
kmaren;kemarin
gue;saya
tgl;tanggal
blm;belum
gw;saya
lwt;lewat
td;tadi
klo;kalau
yuk;ayo
dkk;dan kawan kawan
msh;masih
ntn;nonton
rame;ramai
tv;telivisi
krna;karena
kmu;kamu
koe;kamu
lu;kamu
war;perang
mo;mau
blum;belum
udh;udah
gpp;tidak apa apa
key;kayak
tth;tentang
