,user_account,label,tweet,tweet_clean,tweet_token,tf_dict
1083,@kantahkabinhil,1,"#Repost 
@kementerian
.atrbpn
Halo #SobATRBPN, pasca RUU Cipta Kerja disahkan menjadi Undang-Undang, banyak informasi yang berkembang di masyarakat yang belum jelas kebenarannya.
.
Yuk kita lebih bijak mencari informasi yang akurat dari sumbernya, berikut

https://instagram.com/p/CGFeX4SMNQT/?igshid=18xxvs2libe4b…",atrbpn halo pasca rancang undang undang cipta kerja sah undang undang informasi kembang masyarakat benar ayo bijak cari informasi akurat sumber,"['atrbpn', 'halo', 'pasca', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'sah', 'undang', 'undang', 'informasi', 'kembang', 'masyarakat', 'benar', 'ayo', 'bijak', 'cari', 'informasi', 'akurat', 'sumber']","{'atrbpn': 1, 'halo': 1, 'pasca': 1, 'rancang': 1, 'undang': 4, 'cipta': 1, 'kerja': 1, 'sah': 1, 'informasi': 2, 'kembang': 1, 'masyarakat': 1, 'benar': 1, 'ayo': 1, 'bijak': 1, 'cari': 1, 'akurat': 1, 'sumber': 1}"
903,@Pelangi_20,1,"Membalas 
@SatyaJogja_Bukan perihal untuk pekerja saja, tapi juga tentang dampak lingkungan, umkm, pendidikan yang dikomersialkan. Mereka demo bukan asal demo mas. Coba masnya bandingkan antara UU No. 13 Tahun 2003 dengan RUU Cipta Kerja Final yang dibuat DPR. Sudahkah anda mengeceknya ?",balas perihal kerja dampak lingkung usaha mikro tengah didik komersial demo demo mas coba mas banding undang undang tahi rancang undang undang cipta kerja final dewan wakil rakyat ecek,"['balas', 'perihal', 'kerja', 'dampak', 'lingkung', 'usaha', 'mikro', 'tengah', 'didik', 'komersial', 'demo', 'demo', 'mas', 'coba', 'mas', 'banding', 'undang', 'undang', 'tahi', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'final', 'dewan', 'wakil', 'rakyat', 'ecek']","{'balas': 1, 'perihal': 1, 'kerja': 2, 'dampak': 1, 'lingkung': 1, 'usaha': 1, 'mikro': 1, 'tengah': 1, 'didik': 1, 'komersial': 1, 'demo': 2, 'mas': 2, 'coba': 1, 'banding': 1, 'undang': 4, 'tahi': 1, 'rancang': 1, 'cipta': 1, 'final': 1, 'dewan': 1, 'wakil': 1, 'rakyat': 1, 'ecek': 1}"
103,@lookmansay,1,KRPI hny mendapatkan draft yg “katanya” draft final RUU Cipta Kerja & “katanya” dibagikan ke media oleh salah satu pimpinan Baleg DPR RI. Pertanyaan dasar: dapatkah suatu RUU disahkan sbg UU tnp ada draft final? #KRPIPerppubatalkanUUCipker  #MahasiswaBergerak #tolakomnibuslawDPR,konfederasi rakyat kerja indonesia draf draf final rancang undang undang cipta kerja bagi media salah pimpin baleg dewan wakil rakyat rakyat indonesia dasar dapat rancang undang undang sah undang undang draf final,"['konfederasi', 'rakyat', 'kerja', 'indonesia', 'draf', 'draf', 'final', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'bagi', 'media', 'salah', 'pimpin', 'baleg', 'dewan', 'wakil', 'rakyat', 'rakyat', 'indonesia', 'dasar', 'dapat', 'rancang', 'undang', 'undang', 'sah', 'undang', 'undang', 'draf', 'final']","{'konfederasi': 1, 'rakyat': 3, 'kerja': 2, 'indonesia': 2, 'draf': 3, 'final': 2, 'rancang': 2, 'undang': 6, 'cipta': 1, 'bagi': 1, 'media': 1, 'salah': 1, 'pimpin': 1, 'baleg': 1, 'dewan': 1, 'wakil': 1, 'dasar': 1, 'dapat': 1, 'sah': 1}"
46,@demokrasicoid,1,"AHY Heran Draf RUU Cipta Kerja Berubah-ubah: Saling Tuding Sebar Hoaks - Follow 
@demokrasicoidAHY Heran Draf RUU Cipta Kerja Berubah-ubah: Saling Tuding Sebar Hoaks
Ketum Demokrat Agus Harimurti Yudhoyono atau AHY menyoroti perubahan jumlah halaman draf UU Cipta Kerja yang terus berubah-ubah sejak masih menjadi RU
demokrasi.co.id",heran draf rancang undang undang cipta kerja ubah ubah tuding sebar hoax follow heran draf rancang undang undang cipta kerja ubah ubah tuding sebar hoax tum demokrat agus harimurti yudhoyono sorot ubah halaman draf undang undang cipta kerja ubah ubah rancang undang undang demokrasi,"['heran', 'draf', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'ubah', 'ubah', 'tuding', 'sebar', 'hoax', 'follow', 'heran', 'draf', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'ubah', 'ubah', 'tuding', 'sebar', 'hoax', 'tum', 'demokrat', 'agus', 'harimurti', 'yudhoyono', 'sorot', 'ubah', 'halaman', 'draf', 'undang', 'undang', 'cipta', 'kerja', 'ubah', 'ubah', 'rancang', 'undang', 'undang', 'demokrasi']","{'heran': 2, 'draf': 3, 'rancang': 3, 'undang': 8, 'cipta': 3, 'kerja': 3, 'ubah': 7, 'tuding': 2, 'sebar': 2, 'hoax': 2, 'follow': 1, 'tum': 1, 'demokrat': 1, 'agus': 1, 'harimurti': 1, 'yudhoyono': 1, 'sorot': 1, 'halaman': 1, 'demokrasi': 1}"
1153,@miiiiii131,0,"Pantesan temen gua ngatain gua heboh karna buat SW tentang RUU ciptakerja (ttg negara). Rupanya bapak dia polisi wkwkwk pantes lah! Kan kerjanya bantuin dpr bukan rakyat
 upsss...",pantesan teman umpat heboh sw rancang undang undang cipta kerja negara polisi pantes kerja bantu dewan wakil rakyat rakyat,"['pantesan', 'teman', 'umpat', 'heboh', 'sw', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'negara', 'polisi', 'pantes', 'kerja', 'bantu', 'dewan', 'wakil', 'rakyat', 'rakyat']","{'pantesan': 1, 'teman': 1, 'umpat': 1, 'heboh': 1, 'sw': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 2, 'negara': 1, 'polisi': 1, 'pantes': 1, 'bantu': 1, 'dewan': 1, 'wakil': 1, 'rakyat': 2}"
1686,@myozhyme,1,"3.
""Keterbukaan dalam proses itu, bahkan bisa diketahui karena banyak jejak digital dan liputan media.

Pembahasan RUU Cipta kerja ini umumnya dilakukan di Ruang Rapat Baleg DPR dan dilaksanakan pada siang hari.""

#OmnibusLawTransparan",buka proses jejak digital liput media bahas rancang undang undang cipta kerja ruang rapat baleg dewan wakil rakyat laksana siang,"['buka', 'proses', 'jejak', 'digital', 'liput', 'media', 'bahas', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'ruang', 'rapat', 'baleg', 'dewan', 'wakil', 'rakyat', 'laksana', 'siang']","{'buka': 1, 'proses': 1, 'jejak': 1, 'digital': 1, 'liput': 1, 'media': 1, 'bahas': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'ruang': 1, 'rapat': 1, 'baleg': 1, 'dewan': 1, 'wakil': 1, 'rakyat': 1, 'laksana': 1, 'siang': 1}"
297,@Sofianisaaa,1,"Membalas 
@ustadchenBapaknya lupa apa ya kalo beberapa bulan lalu ada artis indo  diajakin buat ngiklan ruu cipta kerja. Yg mana mereka bisa saja tidak mengerti omnibus law seperti yg bapak bilang
  dh gitu habis kena komentar ig nya digembok",balas lupa ya artis indonesia ajak iklan rancang undang undang cipta kerja erti omnibus law bilang habis kena komentar instagram gembok,"['balas', 'lupa', 'ya', 'artis', 'indonesia', 'ajak', 'iklan', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'erti', 'omnibus', 'law', 'bilang', 'habis', 'kena', 'komentar', 'instagram', 'gembok']","{'balas': 1, 'lupa': 1, 'ya': 1, 'artis': 1, 'indonesia': 1, 'ajak': 1, 'iklan': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'erti': 1, 'omnibus': 1, 'law': 1, 'bilang': 1, 'habis': 1, 'kena': 1, 'komentar': 1, 'instagram': 1, 'gembok': 1}"
765,@Anii_Zaahra,1,"Kontroversi dan bebal. Dua sifat itu layak disematkan pada rezim hari ini. Meski ditolak mayoritas rakyat, aktivis, dan akademisi, pemerintah dan DPR bergeming. Sejumlah pasal kontroversi dalam RUU Cipta Kerja tetap diketok palu. #EkonomiKhilafahAntiKrisis",kontroversi bebal sifat layak semat rezim tolak mayoritas rakyat aktivis akademisi perintah dewan wakil rakyat geming pasal kontroversi rancang undang undang cipta kerja ketok palu,"['kontroversi', 'bebal', 'sifat', 'layak', 'semat', 'rezim', 'tolak', 'mayoritas', 'rakyat', 'aktivis', 'akademisi', 'perintah', 'dewan', 'wakil', 'rakyat', 'geming', 'pasal', 'kontroversi', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'ketok', 'palu']","{'kontroversi': 2, 'bebal': 1, 'sifat': 1, 'layak': 1, 'semat': 1, 'rezim': 1, 'tolak': 1, 'mayoritas': 1, 'rakyat': 2, 'aktivis': 1, 'akademisi': 1, 'perintah': 1, 'dewan': 1, 'wakil': 1, 'geming': 1, 'pasal': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'ketok': 1, 'palu': 1}"
709,@kangdede78,1,"1.
Butir Keberatan Pekerja

                   &

Penjelasan di RUU Cipta Kerja.

#RakyatButuhCiptaKerja",butir berat kerja jelas rancang undang undang cipta kerja,"['butir', 'berat', 'kerja', 'jelas', 'rancang', 'undang', 'undang', 'cipta', 'kerja']","{'butir': 1, 'berat': 1, 'kerja': 2, 'jelas': 1, 'rancang': 1, 'undang': 2, 'cipta': 1}"
418,@gemilang06,1,"Membalas 
@crown_abieAda program BPJS yg baru di RUU Cipta Kerja. coba di baca dl ya gaesss
Yg pasti #OBLBuatRakyatSejahtera",balas program badan selenggara jamin sosial rancang undang undang cipta kerja coba baca ya teman,"['balas', 'program', 'badan', 'selenggara', 'jamin', 'sosial', 'rancang', 'undang', 'undang', 'cipta', 'kerja', 'coba', 'baca', 'ya', 'teman']","{'balas': 1, 'program': 1, 'badan': 1, 'selenggara': 1, 'jamin': 1, 'sosial': 1, 'rancang': 1, 'undang': 2, 'cipta': 1, 'kerja': 1, 'coba': 1, 'baca': 1, 'ya': 1, 'teman': 1}"
