from;to
aa;xyz
aaamiin;amin
aah;xyz
aakah;apakah
aamiin;amin
abdya;xyz
abis;habis
abk;xyz
ablaze;terang benderang
abng;abang
aboti;berat
about;tentang
abs;xyz
abt;xyz
abuse;penyalahgunaan
abw;xyz
academy;akademi
acadia;xyz
acan;belum
acapkali;sering kali
acceptable;dapat diterima
accesible;dapat diakses
accident;kecelakaan
accor;xyz
accurate;tepat
acnya;ac nya
acted;bertindak
action;tindakan
activists;aktivis
actually;sebenarnya
ad;ada
adain;ada
adakan;ada
adalaj;adalah
adany;ada
adapaun;adapun
adapn;adapun
adapula;ada pula
addict;pecandu
addition;tambahan
adek;adik
adl;adalah
adlah;adalah
adlh;adalah
adress;alamat
advance;maju
advokad;advokat
adzab;azab
adzan;azan
ae;xyz
aebuah;sebuah
afarat;aparat
affiliasi;afiliasi
after;sesudah
again;lagi
against;melawan
agam;agama
agent;agen
aggt;anggota
agree;setuju
agreed;sepakat
agt;xyz
agtas;xyz
ah;xyz
ahahaha;xyz
ahay;xyz
ahead;di depan
ahh;xyz
ahlak;akhlak
ahsudala;sudah
ahw;xyz
ahy;xyz
aia;xyz
aing;saya
airmata;air mata
airn;air
ais;xyz
aj;saja
aja;saja
aja;saja
ajaa;saja
ajah;saja
ajarin;ajar
ajasih;saja
ajatweet;saja tweet
aje;saja
ajeng;anjing
ajg;anjing
ajh;saja
aji;saja
ajj;saja
ajja;saja
ajuin;aju
ak;xyz
aka;xyz
akak;kakak
akang;kakak
akeh;banyak
akhe;banyak
akhh;banyak
akhire;akhirnya
akhirx;akhirnya
akhrn;akhirnya
akhrnya;akhirnya
aki;kakek
akibate;akibat
akirnya;akhirnya
akn;akan
akp;ajun komisari polisi
akrinya;akhirnya
aksbiar;xyz
aksesorisnya;aksesoris
aktifin;aktif
aktifitasnya;aktivitas
akuin;pengaku
akuk;aku
akuntabel;akun tabel
akuu;aku
akuuketumbar;aku ketumbar
al;xyz
alamiin;alamin
alangkara;alangkah
alasannyafadli;alasan fadli
alay;anak lebay
alert;waspada
alerta;xyz
alesan;alasan
alhamdulilah;alhamdulillah
alhamdulillah;alhamdulillah
alhamdulillahin;alhamdulillah
alhamdulilloh;alhamdulillah
alienum;xyz
alkes;alat kesehatan
allahu;allah
allhamdulilah;alhamdulillah
allhamdulillah;alhamdulillah
alm;almarhum
almet;almamater
alot;keras
already;sudah
alsan;alasan
also;juga
although;meskipun
alus;bagus
always;selalu
am;sama
ama;sama
amahasiswa;mahasiswa
amattt;amat
ambl;ambil
ambles;tenggelam
ambulance;ambulans
amby;xyz
ambyaarr;ambyar
ame;sama
ameh;supaya
amended;diubah
amendment;amandemen
amer;anggur merah
america;amerika
amidst;di tengah tengah
aminn;amin
aminnn;amin
amm;xyz
amnesty;amnesti
amoh;rusak
amok;amuk
among;xyz
amp;xyz
ampe;sampai
amppt;xyz
ampredator;predator
ampuun;ampun
ampy;xyz
amt;xyz
ana;ada
anakbuahnya;anak buah
analisanya;analisa
analyze;analisis
