UserName,Tweet
PatihNU,
Garry Lotulung,a demonstrator runs amidst tear gas during a protest against the new so-called omnibus law in jakarta indonesia october riot police officers pointing his teargas gun to protestors photojournalist photojournalism news omnibuslaw ruuciptakerja omnibusbill
Dodong Cahyono,a eh loe pade udah yg baru b emang a ituuu b a ruu cipta kerja versi kirim presiden
R = ?,a thread pandu paham titik temu masalah ruu cipta kerja mositidakpercaya gagalkanomnibuslaw jegalsampaibatal tolakruuciptakerja
Ari Candra11,aamiin alhamdulillah demo bengkulu jalan lancar anarkis sepakat tolak ruu cipta kerjatweet kutipandenie noviansyah oktmembalas lindung bangsa yaa rabblindungilah rakyat nyaaamiin yra---mahasiswabergerak mahasiswaturunkejalan mahasiswamelawan
HANYA MINTA KEADILAN,aamiin stay safe kak tolak ruu cipta kerjastoprugikanrakyatkartumerahomnibuslaw indonesiadalambahayatolakomnibuslawgagalkanomnibuslaw jegalsampaigagal jegalsampaibatalmositidakpercayadprri dprrikhianatirakyatindonesiadalambahayamahasiswabergerak
capricorn girl,abang jago rusak atap atap gk tau ama ruu cipta kerja tu kalo rusak duit yg ngebenerinnya tweet kutip oktbonus demografi
ɒꙅɒꙄ,abang sepupu gue nolep semester sibuk sibuk semogaa doi rumah doi ngerantau pulau dah gitu blm info kota nolak ruu cipta kerja
Ayu dewi,abar ump umk umsp hapus salah pasal ruu sah undang cipta kerja bab iv pasal c upah minimum tetap pemprov faktaomnibuslaw
Andriani Puspa,abbas buruh paham penting manfaat omnibus law ruu cipta kerja alas kuat tolak omnibuslawuntungkanburuh
Edo S. Prabowo,abis bikin ruu cipta kerja ntar ruu hip wkwkwkwkpresiden omnibuslawturunkanjokowi jogjademorakyatbukancumaelu anies
hellow!,abis debat ttg ruu cipta kerja enak jg end nya
Melyana,abis jemput bocil adik polres gara gara kemaren demo ruu cipta kerja miskomunikasi gatau anak anak tangkap polisitapi biarin aja berani suara ga kaya caci medsos nyusuin bayi
Indra Yunaidi,abis ketok palu ruu cilaka cipta lapang kerja dpr laku social distancing rakyat alias reses
Egg-ie,abis liat video tiktok yg dprd tolak ruu cipta kerja haru
novia,abis liet tiktok fypku isi berita abis demo jujur takut sedih banget takut kalo fakta demo ikut an kaji ruu cipta kerja udah sah in banget fakta isi ruu simpang
yoongi,abis rapat gedung dpr bahas ruu cipta kerja waktu pas masyarakat istirahat malam buta kabar tweet kutipandetikcom oktdki longgar psbb status transisi bioskop buka ahli golong giat nonton bioskop kategori risiko tinggi via
Bukan Arчα Duta™ #أكون مرديكا,abraham samad sebut diskursus investasi sedia lapang kerja ruu cipta kerja sesat kes mudah modal abai hak kelas sosial rentan salah satu kerja abraham samad khawatir uu ciptaker potensi korupsi legislasiabraham samad sebut diskursus investasi sedia lapang kerja ruu cipta kerja sesat monitor co id
Rakyat Merdeka,ace bijak buruh unjuk pandemi covid demo mahasiwabergerak buruhbergerak stmbergerak dpr ruuciptakerja omnibuslaw uuciptakerja corona coronavirus covid covid rakyatmerdeka rmcoidace bijak buruh unjuk pandemi covid-anggota komisi viii dpr tubagus ace hasan syadzily pandemi covid masyarakat kumpul rmco id
Coretan NL,aceh suara dpr lancangkini tantang omnibuslawsampah mositodakpercaya jegalomnibuslaw jegalsampaigagalruuomnibuslaw ruuciptakerja
SONTOLOYO,achmad baidowi ppp drama polbus demokrat pks benny kabur hinca bahas ruu ciptaker bikin drama kesah uu cipta kerja hero rakyat tau polbus arries
SONTOLOYO,achmad baidowi ppp drama polbus demokrat pks benny kabur hinca bahas ruu ciptaker dramatisasi kesah uu cipta kerja hero rakyat tau polbus arries
Haluan Group,achmad chrisna pimpin vicon ruu cipta kerjaachmad chrisna pimpin vicon ruu cipta kerjapesisir barat pjs bupati pesisir barat achmad chrisna putra pimpin vicon ruu cipta kerja ruang batu gughi sekretariat pemkab rabu hadir acara p haluanlampung com
OnlyTijan™,actually panggil ruu tu ruu cilaka ruu cipta lapang kerja tweet kutipanalternatif press oktmutakhir ternampak visual video demonstrasi indonesia protes ganas ruu cipta kerja ciptaker omnibus law ikut bebenang utk jelas mudah fahamtampilkan utas
Sinyo21,acu tentu sebar covid selesai tanggung datang kerumun massa yg kumpul gedung dpr ri dprd tindaktegas gagas ruu cipta kerja yg sah
REPUBLIK MERDEKA | RMOL.ID,acung jempol gurubesar nyata berat uu ciptaker
Dr Prasta,ada bebas koridor koridor absah alas kuat dasar unjuk tentang sah ruu cipta kerja dpr senin tanggal oktober
Rizki Hermadinata,ada dapat comment bawah-ruu cipta kerja
Kompas.com,ada draf final ruu cipta kerja ruu cipta kerja sah undang rapat paripurna dpr oktober nasional videokompas
