UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Polres Tolitoli,@PolresTolitoli,2020-10-19T15:23:42.000Z,"Disela sela aksi unras penolakan ruu cipta kerja dir sabhara pimpin Sholat Dzuhur berjamaah
#JagaDamaiIndonesia",,,,
NTT One,@ntt_one,2020-10-19T15:15:41.000Z,"Para Pendeta Sikapi Omnibus Law RUU Cipta KerjaPara Pendeta Sikapi Omnibus Law RUU Cipta Kerja
JAKARTA.Lenterakristiani.com-Sebanyak 104 pendeta lintas denominasi, mengeluarkan pernyataan bersama menyikapi pengesahan Omnibus Law RUU Cipta Kerja ini yang dijadwalkan pada hari ini, Kamis (16/7)....
lenterakristiani.com",,,,
Arya Widipa,@AryaWidipa,2020-10-19T15:10:44.000Z,"Membalas 
@EmillyLuwita46Brarti ada kepentingan bisnis di +62 makanya Jokowi suruh batalkan RUU Cipta Kerja.",,,,
BEM UNS,@BEMUNS,2020-10-19T15:00:27.000Z,"Kini Omnibus Law yang sudah disahkan harus segera dibatalkan. Judical Review bukanlah opsi yang bisa diandalkan. Rakyat harus mendesak Presiden untuk mengeluarkan Perppu batalkan Omnibus Law RUU Cipta Kerja.

#BatalkanOmnibusLaw 
#MosiTidakPercaya
#JegalSampaiGagal",,1,1,3
BEM UNS,@BEMUNS,2020-10-19T14:59:33.000Z,"Satu tahun kepemimpinan Jokowi-Ma'ruf Amin menimbulkan berbagai masalah. Mulai dari penanganan covid-19 yang tidak tentu arah, hingga disahkannya Omnibus Law RUU Cipta Kerja.

#BatalkanOmnibusLaw
#MosiTidakPercaya
#JegalSampaiGagal",,1,1,1
engga,@engga62697832,2020-10-19T14:49:24.000Z,Jangan Mudah Termakan Hoax ! Baca dan Pahami Isi RUU Omnibus Law Cipta Kerja Sangatlah Bermanfaat Untuk Kemajuan Bangsa Indonesia,,,,
gigineyz,@gigineyz1,2020-10-19T14:49:01.000Z,Jangan Mudah Termakan Hoax ! Baca dan Pahami Isi RUU Omnibus Law Cipta Kerja Sangatlah Bermanfaat Untuk Kemajuan Bangsa Indonesia,,,,
BEM IMAKA Lentera Karya,@BEM_IMAKA,2020-10-19T14:47:14.000Z,"Hidup Mahasiswa !!!
Hidup Rakyat Indonesia !!!
Hidup Perempuan Indonesia !!!
.
[SERUAN AKSI NASIONAL]
.
Bertepatan 1 tahun masa jabatan presiden jokowi, sudah banyak evaluasi yang terlihat. Urgensi pengesahan RUU Cipta Kerja menjadi salah satu pemantik masyarakat turun kejalan.",,1,,
Bukan Arчα Duta™ #أكون مرديكا,@masaryaduta,2020-10-19T14:36:06.000Z,"Tak hanya draf RUU Cipta Kerja, bahkan rapat-rapat pun tak lengkap. Semisal dari rapat tanggal 25 September, melompat ke rapat pembahasan tingkat I DPR RI pada 3 Oktober. Padahal 26 September s/d 2 Oktober ada rapat-rapat penting membahas UU Cipta Kerja.Omong Kosong Transparansi DPR dan Pemerintah Soal UU Cipta Kerja - Tirto.ID
Sejak disahkan 5 Oktober, tak ada jalan bagi publik untuk bisa mengakses draf UU Ciptaker lewat kanal-kanal resmi.
tirto.id",,,1,1
Awkentip,@ariefrinoWP,2020-10-19T14:34:43.000Z,"Membalas 
@sakaandrikap
 dan 
@saiyussiRUU Cipta kerja",,1,,
JPNN.com,@jpnncom,2020-10-19T14:27:02.000Z,"Gubernur Ganjar Pranowo sudah mendapat laporan terkait 11 pedemo yang positif covid-19 usai adanya aksi demo menolak RUU Cipta Kerja. #klasterCOVID-1911 Pedemo Positif Covid-19 di Semarang, Begini Reaksi Pak Ganjar
Gubernur Ganjar Pranowo sudah mendapat laporan terkait 11 pedemo yang positif covid-19 usai adanya aksi demo menolak RUU Cipta Kerja.
m.jpnn.com",,,,
Lala,@Lala98593741,2020-10-19T14:24:40.000Z,#ruuciptakerja #ruuomnibuslaw #CiptaKerjaBermanfaat #CiptaKerjaBangunBangsa #ciptakerja #buruh #rakyatbutuhciptakerja,,,,
Lala,@Lala98593741,2020-10-19T14:24:29.000Z,#ruuciptakerja #ruuomnibuslaw #CiptaKerjaBermanfaat #CiptaKerjaBangunBangsa #ciptakerja #buruh #rakyatbutuhciptakerja,,,,
Lala,@Lala98593741,2020-10-19T14:24:16.000Z,#ruuciptakerja #ruuomnibuslaw #CiptaKerjaBermanfaat #CiptaKerjaBangunBangsa #ciptakerja #buruh #rakyatbutuhciptakerja,,,,
Lala,@Lala98593741,2020-10-19T14:23:55.000Z,#ruuciptakerja #ruuomnibuslaw #CiptaKerjaBermanfaat #CiptaKerjaBangunBangsa #ciptakerja #buruh #rakyatbutuhciptakerja,,,,
Lala,@Lala98593741,2020-10-19T14:23:27.000Z,#ruuciptakerja #ruuomnibuslaw #CiptaKerjaBermanfaat #CiptaKerjaBangunBangsa #ciptakerja #buruh #rakyatbutuhciptakerja,,,,
Lala,@Lala98593741,2020-10-19T14:22:41.000Z,#ruuciptakerja #ruuomnibuslaw #CiptaKerjaBermanfaat #CiptaKerjaBangunBangsa #ciptakerja #buruh,,,,
CNN Indonesia Daily,@CNNIDdaily,2020-10-19T14:00:02.000Z,"Wali kota Surabaya Tri Rismaharini,Senin pagi,memberi pengarahan untuk 58 pelajar SD dan SMP. Mereka sebelumnya tertangkap polisi,karena terlibat kerusuhan dalam aksi penolakan RUU Cipta Kerja 8 Oktober http://lalu.youtu.be/ou-OtiGfmBo",,,2,3
rani bening,@rani_bening,2020-10-19T13:49:16.000Z,(1/2) GUYS yuk dibaca infografis ini terkait dengan RUU Cipta Kerja yang sebentar lagi di sah kan oleh presiden! biar kita bisa menyikapi dengan benar sesuai ilmu perundang-undangan! ,😆 👌,1,,1
Janna Nugraha,@BangJanna,2020-10-19T13:48:36.000Z,"jangan ada oknum diantara kita.

#tolakomnibuslaw
#RUUCiptakerja
#jangandemosamaoknum",,,,
coco,@Ega52892038,2020-10-19T13:37:53.000Z,"Membalas 
@MaspiyuO
 dan 
@b370slametLah kayaknya kemarin atau kapan gitu ada berita RUU cipta kerja udah di sahkan tanpa persetujuan presiden . Kok sekarang gini lagi ??",,,,
Bella Burhani,@SweetMacarons2,2020-10-19T12:28:11.000Z,"Sudah jatuh, tertimpa tangga pula. Begitulah nasib perempuan saat ini. RUU Cipta Kerja yang dikebut pada 5/10/2020 ini dinilai merugikan kalangan buruh termasuk perempuan. Selengkapnya tonton video serba-serbi pagi ini hanya di channel YouTube MM",,,,
Harian Kompas,@hariankompas,2020-10-19T12:25:11.000Z,"Pemerintah meyakini, implementasi keringanan pajak untuk perusahaan terbuka serta pengesahan RUU Cipta Kerja menjadi undang-undang bisa mengembalikan denyut nadi pasar modal yang awal tahun ini sempat redup karena pandemi Covid-19.

#Ekonomi #adadikompas 
https://kompas.id/baca/ekonomi/2020/10/19/pemerintah-berupaya-kembalikan-denyut-nadi-pasar-modal/#utm_source=medsos_twitter&utm_medium=link…",,1,,
Majalah GATRA,@MAJALAH_GATRA,2020-10-19T12:14:24.000Z,"Akademisi menemukan sejumlah pasal “selundupan” dalam UU Cipta Kerja. Yang bermasalah dalam pembahasan RUU pertanahan, masuk UU Ciptaker lewat jalur cepat. Klaster pendidikan membingungkan? #UUCiptaKerja #OmnibusLaw",,1,,1
Yudha W Kusuma,@MHT_Bravo,2020-10-19T12:13:47.000Z,"Membalas 
@nitarose38RUU CIPTA KERJA,DARI SOAL BURUH SMP PERIZINAN. Yg blm PO Produk KAnita,Buruan Sebelum Kehabisan 
 #UMKMTetapSemangat",😁,,,2
SOAL = BLOCK,@schfess,2020-10-19T12:13:29.000Z,sch! guys msh ada yg nyimpen thread RUU cipta kerja kmrn ngga? aku mau minta buat tugas hehe thankyouuu,‼,,,3
Polsek Tempuran,@PolsekTempuran1,2020-10-19T12:05:16.000Z,Bertempat di Rumah Makan Progowati  Srowol Mungkid ..Senin (19 /10 /2020) Aliansi masyarakat Kabupaten Magelang mendeklarasikan cinta damai menolak demo anarkis dalam menyikapi RUU Cipta Kerja.,,,,1
Sekolah Tinggi Hukum Indonesia Jentera,@jentera,2020-10-19T11:53:48.000Z,"DPR memotong tahapan dalam proses pembahasan RUU Cipta Kerja. Badan Legislasi membentuk dan melakukan pembahasan melalui Panitia Kerja, tanpa melalui Rapat Kerja Badan Legislasi.",,1,3,7
iya,@rtriskalbs74,2020-10-19T11:52:17.000Z,"Gembar gembor teriak tolak RUU Cipta Kerja waktu itu. Giliran di tanya isi nya malah gatau. Kamu ga harus paham untuk semua hal, tapi paling enggak kamu tau apa maksud, isi dan tujuan nya sebelum demo kemarin. Jadi, waktu itu ikut demo ingin aspirasi atau konten nih?",,,,
menolak ruu cipta kerja,@Jati43133443,2020-10-19T11:50:44.000Z,"Membalas 
@kegblgnunfaedhBayangkannnn bayangkann saat nanti kamu pulang ke rumah dan kamu melihat banyak orang berkumpul di depan rumahmu dan ada bendera kuning berkobar

Gue bilekk : bapak ku masuk golkar pakk",,,,1
Fred™,@Fredrick_T,2020-10-19T11:47:20.000Z,"Membalas 
@detikcom
 dan 
@20detikSudah baca RUU Cipta Kerja belum ..?!?",,,,
Ari Ahmad Sani,@AriAhmadSani1,2020-10-19T11:45:13.000Z,"Membalas 
@jokowingurus urusan receh begini...
Ya ampuuuuun... Melemahkan KPK! Meremehkan covid-19 d awal .. tergesa ² mengesahkan RUU ciptakerja, dulu bilang produksi vaksin covid-19 minta dipercepat abis itu bilang produksi vaksin butuh detail dan hati2...blunder terus!",,,,
Irna Thalita,@IrnaThalita,2020-10-19T11:41:21.000Z,"Sudah jatuh, tertimpa tangga pula. Begitulah nasib perempuan saat ini. RUU Cipta Kerja yang dikebut pada 5/10/2020 ini dinilai merugikan kalangan buruh termasuk perempuan. Komisioner Komnas Perempuan, Bahrul Fuad menilai bahwa kondisi tersebut bisa muncul dari pasal-pasal y",,,,
Dodok,@Dodok45090546,2020-10-19T11:31:32.000Z,"Dukung RUU CIPTA KERJATweet Kutipan
Pratama Bahari
@PratamaBahari5
 · 19 Okt
Dukungan UU Cipta kerja dari beberapa tokoh DIY #DukungUUCiptakerja",,,,
lala,@fyi_imo,2020-10-19T11:24:48.000Z,"Valid tidak isi buku ini?
#ruuciptakerja",,,,
Polsek Dukun Res Magelang,@DukunRes,2020-10-19T11:15:09.000Z,"Masyarakat Kab. Magelang Cinta Damai dan Menolak Demo Anarkis

Siang ini , Aliansi Masyarakat Kab. Magelang Deklarasi Cintai Damai Menolak Demo Anarkis menyikapi perkembangan situasi Demo Anarkis menolak pengesahan RUU Cipta Kerja di beberapa wilayah, Senin(19 /10/2020)",,,,1
Humas Polsek Windusari,@HumasWindusari,2020-10-19T10:12:43.000Z,"Masyarakat Kab. Magelang Cinta Damai dan Menolak Demo Anarkis

Siang ini , Aliansi Masyarakat Kab. Magelang Deklarasi Cintai Damai Menolak Demo Anarkis menyikapi perkembangan situasi Demo Anarkis menolak pengesahan RUU Cipta Kerja di beberapa wilayah, Senin(19 /10/2020)",,,,
Bintang,@Bint4ng211,2020-10-19T10:05:59.000Z,"RUU Cipta Kerja hadir salah satu tujuannya untuk menyederhanakan regulasi izin usaha dan berinvestasi. Regulasi penyederhanaan perizinan yang sebelumnya terdapat tumpang tindih, prosedur dan kemudahan dalam proses perizinan, serta memberikan kepastian hukum dalam berusaha.",,,,2
Bintang,@Bint4ng211,2020-10-19T10:04:34.000Z,"RUU Cipta Kerja hadir untuk mengatasi konflik UU secara cepat, efektif dan efisien, menyeragamkan kebijakan pemerintah baik di tingkat pusat maupun di daerah utuk menunjang iklim investasi, serta mempermudah pengurusan perizinan sehingga lebih terpadu, efisien, dan efektif",,,,
JPNN.com,@jpnncom,2020-10-19T10:04:02.000Z,"Gubernur Ganjar Pranowo kembali menegaskan bila tidak melarang masyarakat demonstrasi terkait RUU Cipta Kerja. #GanjarPranowoGanjar: Kami Tidak Larang Orang Menyampaikan Aspirasi
Gubernur Ganjar Pranowo kembali menegaskan bila tidak melarang masyarakat demonstrasi terkait RUU Cipta Kerja.
m.jpnn.com",,,,
Humasngablak,@humasngablak,2020-10-19T10:03:33.000Z,"Masyarakat Kab. Magelang Cinta Damai dan Menolak Demo Anarkis. Aliansi Masyarakat Kab. Magelang Deklarasi Cintai Damai Menolak Demo Anarkis menyikapi perkembangan situasi Demo Anarkis menolak pengesahan RUU Cipta Kerja di beberapa wilayah, Senin(19 /10/2020)",,,,
sasa ʕ•ᴥ•ʔ,@hukumkorporat,2020-10-19T10:00:40.000Z,ngambil team pro dalam disahkan nya ruu cipta kerja wdyt????,,2,,
SINDOnews,@SINDOnews,2020-10-19T10:00:00.000Z,"Waduh, UU Cipta Kerja Disebut Bisa Picu Konflik Nelayan Kecil dan Besar #8ukaSindonews #BangkitdariPandemi #ruuciptakerjaWaduh, UU Cipta Kerja Disebut Bisa Picu Konflik Nelayan Kecil dan Besar
Perubahan yang dihasilkan Omnibus Law UU Cipta Kerja terkait ketentuan antara nelayan kecil dan nelayan besar, dinilai akan...
ekbis.sindonews.com",,,1,2
Polsek Kaliangkrik,@PKaliangkrik,2020-10-19T09:57:15.000Z,"Masyarakat Kab. Magelang Cinta Damai dan Menolak Demo Anarkis

Siang ini , Aliansi Masyarakat Kab. Magelang Deklarasi Cintai Damai Menolak Demo Anarkis menyikapi perkembangan situasi Demo Anarkis menolak pengesahan RUU Cipta Kerja di beberapa wilayah, Senin(19 /10/2020)",,,,
Rakjat Tidoer,@araymu,2020-10-19T09:53:04.000Z,"Bubur kok diaduk-aduk.
Draft ruu cipta kerja tuh diaduk-aduk.

Biar bisa masang pasal selundupan.",,,,2
Aura Ningsih,@AuraNingsih129,2020-10-19T09:51:12.000Z,Pasal 88C RUU Cipta Kerja,,,,
Polsek Grabag,@polsekgrabag_,2020-10-19T09:49:05.000Z,"Masyarakat Kab. Magelang Cinta Damai dan Menolak Demo Anarkis

Siang ini , Aliansi Masyarakat Kab. Magelang Deklarasi Cintai Damai Menolak Demo Anarkis menyikapi perkembangan situasi Demo Anarkis menolak pengesahan RUU Cipta Kerja di beberapa wilayah, Senin(19 /10/2020)",,,,
LAPMI PALANGKA RAYA,@lapmipky,2020-10-19T09:45:02.000Z,HMI Sampaikan Pandangan Tentang RUU Cipta Kerja ke DPRD Pringsewu http://dlvr.it/Rjtjqj,,,,
Polsek Tegalrejo Res Magelang,@TegalrejoPolsek,2020-10-19T09:44:41.000Z,"Masyarakat Kab. Magelang Cinta Damai dan Menolak Demo Anarkis

Aliansi Masyarakat Kab. Magelang Deklarasi Cintai Damai Menolak Demo Anarkis menyikapi perkembangan situasi Demo Anarkis menolak pengesahan RUU Cipta Kerja di beberapa wilayah, Senin(19 /10/2020)",,,,
Polsek Mungkid,@polsek_mungkid,2020-10-19T09:39:13.000Z,"Masyarakat Kab. Magelang Cinta Damai dan Menolak Demo Anarkis

Siang ini , Aliansi Masyarakat Kab. Magelang Deklarasi Cintai Damai Menolak Demo Anarkis menyikapi perkembangan situasi Demo Anarkis menolak pengesahan RUU Cipta Kerja di beberapa wilayah, Senin(19 /10/2020).",,,,
Afni_Sabang,@HmzUmm,2020-10-19T09:25:28.000Z,"Sudah jatuh, tertimpa tangga pula. Begitulah nasib perempuan saat ini. RUU Cipta Kerja yang dikebut pada 5/10/2020 ini dinilai merugikan kalangan buruh termasuk perempuan. Selengkapnya tonton di channel YouTube MMC dg ketik: perbudakan legal",,,,
Koalamurumbo,@koalamurumbo,2020-10-19T09:22:46.000Z,"Pengesahan omnibus law RUU Cipta Kerja tidak akan diikuti oleh Pemutusan Hubungan Kerja (PHK) yang meluas. Dalam UU yang baru disahkan ini, perlidungan untuk pekerja tetap utuh. 
Putera Satria Sambijantoro
Ekonom Bahana Sekuritas",,,,
Also86,@Aliragil86,2020-10-19T09:20:42.000Z,"Membalas 
@Ch_ChotlmahLadang Sertifikat Halal nya MUI sudah lenyap gara2 RUU CIPTA KERJA..",,,,
Humas Polsek Salaman,@HumasSalaman,2020-10-19T09:11:41.000Z,"Masyarakat Kab. Magelang Cinta Damai dan Menolak Demo Anarkis

Siang ini , Aliansi Masyarakat Kab. Magelang Deklarasi Cintai Damai Menolak Demo Anarkis menyikapi perkembangan situasi Demo Anarkis menolak pengesahan RUU Cipta Kerja di beberapa wilayah, Senin(19 /10/2020",,,1,3
Vita Anisa,@VitaAnisa9,2020-10-19T09:02:24.000Z,amarah masyarakat (terutama buruh dan mahasiswa) mengenai keputusan RUU Cipta Kerja yang baru saja disahkan memicu banyak kontroversi.,,1,,
WIDI,@widiasututi,2020-10-19T09:01:03.000Z,"Jika pun itu terjadi, pasti karena ada tukang kompor yang mau memainkan kesempatan sebagai penumpang gelap. Omnibus Law RUU Cipta Kerja, menurut seorang senior adalah sebuah bis yang bagus konstruksi dan aksesorisnya",,1,,
WIDI,@widiasututi,2020-10-19T09:01:00.000Z,"Bahwa inisiatif RUU Cipta Kerja dari Presiden Jokowi, memang iya. Tetapi di parlemen lah rancangan itu mesti dikorek, diblejeti, dibedah, dibantai bahkan ditolak. Salah sasaran kalau rakyat menekan Presiden",,1,,
Nikika Najihah,@NajihahNikika,2020-10-19T08:59:38.000Z,"Sudah jatuh, tertimpa tangga pula. Begitulah nasib perempuan saat ini. RUU Cipta Kerja yang dikebut pada 5/10/2020 ini dinilai merugikan kalangan buruh termasuk perempuan. Selengkapnya tonton video serba-serbi pagi ini hanya di channel YouTube MMC...Tak Ada Hati! Perbudakan Legal Oleh Negara, Perempuan Lagi-lagi Jadi...
Sudah jatuh, tertimpa tangga pula. Begitulah nasib perempuan saat ini. RUU Cipta Kerja yang dikebut pada 5/10/2020 ini dinilai merugikan kalangan buruh terma...
youtube.com",,,,
Nanik Hazimah,@NanikHazimah,2020-10-19T08:59:09.000Z,"Sudah jatuh, tertimpa tangga pula. Begitulah nasib perempuan saat ini. RUU Cipta Kerja yang dikebut pada 5/10/2020 ini dinilai merugikan kalangan buruh termasuk perempuan. Selengkapnya tonton video serba-serbi pagi ini hanya di channel YouTube MMC...Tak Ada Hati! Perbudakan Legal Oleh Negara, Perempuan Lagi-lagi Jadi...
Sudah jatuh, tertimpa tangga pula. Begitulah nasib perempuan saat ini. RUU Cipta Kerja yang dikebut pada 5/10/2020 ini dinilai merugikan kalangan buruh terma...
youtube.com",,,,
