UserName,Handle,Timestamp,Text,Emojis,Comments,Likes,Retweets
Tiyo Yhoo,@andi_stiobudy,2021-06-05T11:34:45.000Z,"2. Yth. Bapak 
@nadiemmakarim
 @pusdatin_dikbud
 Apakah ini terjadi karena citra independensi pendidikan di Indonesia menurun? Mengingat, saat aksi penolakan RUU Cipta Kerja di bulan November thn kmrin, banyak diskriminasi terhadap mahasiswa/i yg dirasa sanksi terlalu pandang bulu.",,,,
sofilya,@buterc0p,2021-05-27T11:26:40.000Z,"Membalas 
@xioonji
 dan 
@tubirfesskomnas anak atau ham takut mungkin dengan jabatan bapa pelaku yg DPRD bekasi ini, tpi heran loh ko uu cipta kerja yg banyak d kecam rakyat malah d sahkan diem2, ko ini ruu pks yg bner2 d berguna malah d tunda2? makin seenaknya aja pejabat jaman skrg, kerjaan tidur hobi halu.",✨,2,12,232
indah kiat,@kiat_indah,2021-05-27T08:24:23.000Z,meluruskan 12 hoax omnibus law RUU cipta kerja,,,,
open joki tugas anak SI/IT,@mari_jokii,2021-05-27T07:40:20.000Z,"ga usah blang pekerja cina masuk indo itu pnjajahan, efek ruu cipta kerja ,_, kalo skill kamu pun masih tidak sebanding dgn mreka. disini yg pnya skill yg menang~ lagian ini karna cina invest di indo, ya mreka bawa lah tenaga kerja dri mreka",,,,
Zareena Azzahra,@zareena_azzahra,2021-05-26T01:47:44.000Z,"Membalas 
@ChusnulCh__
 dan 
@PDI_PerjuanganEtika ahy dan SBY jauh lebih baik ketimbang ibu yang matikan mic di DPR karena menganggap suara partai demokrat tak penting... terkait #RUUCiptaKerja 

Apakah ada dendam?",,,,
Zareena Azzahra,@zareena_azzahra,2021-05-26T01:47:30.000Z,"Membalas 
@panca66Etika ahy dan SBY jauh lebih baik ketimbang ibu yang matikan mic di DPR karena menganggap suara partai demokrat tak penting... terkait #RUUCiptaKerja 

Apakah ada dendam?",,,,
,@Asmita_partII,2021-05-25T21:13:55.000Z,"Membalas 
@worksfessIni UU baru dari RUU Cipta kerja kemaren. Jadi sekarang yang PKWT dapat kompensasi juga kalau ada masa kerja PKWT nya habis. Kalau gak salah inget ya",🦩,,,
INRI,@Mat16_16,2021-05-25T05:55:28.000Z,"Ini Parpol2 pengesah RUU OL jd UU Cipta Kerja TKA di Indonesia:
PDI Perjuangan
NasDem
Golkar
Gerindra
PKB
PPP
PAN

Jgn lg dukung mrk di Pilpres, Pileg dan Pilkada, harga mati.

KSPI
Partai Demokrat
PSI
Partai Berkarya
Perindo
Buruh
Pekerja
GELORA NEWSTKA China Kian Bebas Masuk Indonesia, KSPI: UU Cipta Kerja Penyebabnya
Presiden Konfederasi Serikat Pekerja Indonesia ( KSPI ) Said Iqbal mempertanyakan sikap pemerintah terhadap masuknya ratusan tenaga kerja as...
oposisicerdas.com",💕,,,
Rio Erlangga Haris,@rioerl,2021-05-24T15:30:23.000Z,"Membalas 
@detikcomBukannya di indo malah sering ya lakuin aksi solidaritas? Aksi solidaritas gempa, banjir, gunung meletus. Trus ada aksi malah ""dibubarin"" aksi RUU, cipta kerja, Ruu kpk, dll.. rakyat Indonesia masih peduli dg negara sendiri kok, gak akan lupa!",,1,,1
Amnesty International Indonesia,@amnestyindo,2021-05-24T10:34:47.000Z,"Tapi, sejak diusulkan Pemerintah pada Oktober 2019, RUU Cipta Kerja ditolak besar-besaran berbagai kelompok masyarakat. Mulai dari kurangnya partisipasi publik, aturan yang membuka peluang eksploitasi lingkungan, hingga ada potensi berkurangnya kesejahteraan pekerja.",,1,1,2
Maling dana bansos,@lakilakidewa_sa,2021-05-24T01:57:06.000Z,"Nama puan sudah hancur di RUU cipta kerja.
Terus nenggelamin pak ganjar.
Wkkk... mas bowo mas bowo..
Ada barang bagus nih..
Ambil geh.. ex pdip ga masalah.
Potensial sangar soale",,,,
Hidayat Nur Wahid,@hnurwahid,2021-05-24T00:43:31.000Z,"Mungkin maksud bang 
@RamliRizal
 adalah agar anggota DPR kerjanya tak hanya manut doang. Karena sekelas Rizal Ramli tentunya tahu,di DPR tak semua hanya manut doang, terbukti ada penolakan thd RUU Omnibuslaw Cipta kerja, RUU HIP, impor2(beras, garam dll), tax amnesty jilid 2 dll.Kutip Tweet
Teguh Santosa
@TeguhTimurCom
 · 23 Mei
@RamliRizal : Anggota DPR Hari Ini Kerjanya Manut Doang https://politik.rmol.id/read/2021/05/23/489035/rizal-ramli-anggota-dpr-hari-ini-kerjanya-manut-doang…",,21,23,175
BEM UNAIR,@BEMUNAIR_ID,2021-05-23T14:03:56.000Z,jika kita tarik lebih jauh berhubungan dengan pengesahan RUU Cipta Kerja (Ciptaker). Selain  itu dampak yang  ditimbulkan adanya konflik-konflik tersebut terhadap masyarakat sekitar pertambangan dan perkebunan yang pada akhirnya akan menimbulkan pelanggaran pada hukum dan HAM.,,1,,
Habib Amrullah,@itsmeharu23,2021-05-23T10:19:13.000Z,"Membalas 
@DPDIMMDIYSaking hebatnya, sampai² RUU pro oligarki sampai disahkan. Sebagai contohnya, Revisi UU KPK & RUU Cipta Lapangan Kerja aka Omnibus Law ",🔥,,,1
Kantah Kab. Padang Pariaman,@KabPadPar,2021-05-22T09:25:06.000Z,"#Repost 
@kementerian
.atrbpn (
@get_repost
)
・・・
#SobATRBPN, kemudahan pengurusan lahan akan dibenahi melalui RUU Cipta Kerja, guna meningkatkan iklim investasi yang kemudian akan menciptakan lapangan kerja.
.
#UntukEkonomiIndonesia
#IndonesiaMaju
#RUUCiptaKerja",,,,
Bersihkan_Indo,@bersihkan_indo,2021-05-22T05:49:29.000Z,Upaya pengendalian perubahan iklim masih jauh panggang dari api. Betapa tidak? Greenpeace Indonesia menilai RUU Cipta Kerja akan memperparah krisis iklim. Sejumlah kebijakan dianggap kurang berpihak pada pelestarian hutan maupun jauh dari komitmen mengurangi energi fosil.,,1,,
