,Handle,Text,sentiment
0,@RahmaFathiyyah,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya? | Serba-serbi MMC

Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini.",1
1,@Hendria04991579,"Jurus kilat ala sistem kebut skripsi layaknya mahasiswa semester tua, RUU Omnibus Law ini ngebet dan ngebut digarap di Senayan.  Fixed, RUU Cipta Kerja disahkan menjadi UU Ciptaker dalam sidang paripurna yang hasilnya jauh dari kata sempurna.
#OmnibusLawSengsarakanPerempuan",1
6,@anis34216465,"Sudah jatuh tertimpa tangga. Bebas Covid-19 jauh panggang dari api, palu diketok masuk resesi, pemerintah gerak cepat kirim “kado” pengesahan RUU Cipta Kerja.
#OmnibusLawSengsarakanPerempuan",1
9,@EkoFirman15,"Mahasiswa cerdas . Pelajaran i dulu RUU CIPTA KERJA onimboslaw.Tweet Kutipan
Santorini
@SantorinisSun
 · 20 Okt
Silahkan menyuarakan aspirasi...soalnya diatur ama undang2.
Upayakan menjaga jarak...soalnya si COVID ga ada yg bisa ngatur!
Memaksakan demo di masa pandemi sangatlah tdk bijak!
Karena ujungnya si COVID yg akan ter-bahak2!
#herdimmunity
oto.detik.com/berita/d-52203…",1
10,@beereciel,"tapi kalau topik ruu cipta kerja,,, SEBERAPA BANYAK ITUUU MAMPUS AJA",1
11,@KRuHA_Indonesia,"“ Tak Ada Rakyat Dalam Omnibus Law/RUU Cipta Kerja”

#OmnibusCilaka tdk saja menyediakan karpet merah bagi kemudahan investasi, tp juga mendisposisi rakyat sbg sumber masalah atau hambatan investasi & kembali meletakan rakyat dlm situasi terjajahKertas Kerja “Tak Ada Rakyat Dalam Omnibus Law/RUU Cipta Kerja” - KRuHA
Kertas kerja KRuHA yang berjudul  “Tak ada Rakyat di dalam Omnibus Law/ RUU Cipta Kerja “ disusun sejak awal tahun 2020, dimaksudkan sebagai respon terhadap proses dan juga isi dari Omnibus Law/RUU...
kruha.org",1
12,@sekar05vita,"Kena macet karena demo tolak RUU Cipta Kerja. Tapi tak apa... Ini cuma kena macet, semoga semua aman dan baikbaik saja yaa.. Semangaaat!!!",1
13,@Dhanank16013664,"Membalas 
@DahnilanzarNanti mereka muncul akan dikira penunggang,,,? Lalu dmna suara gerindra kok ga nolak RUU cipta kerja? Jadi ilfill sama sosok wowo yg diam ketika rusuh demo, pdahal beliau mentan eh menhan,,,lupa sy abis menhan kok nanam singkong",1
14,@hiiyyen,"Membalas 
@schfesstrain to busan aja nder, perjuangan melawan ruu cipta kerja eh maksudnya jombi",1
15,@MalvaSelena,"#6TahunJokowi 
 Pembahasan penyusunan Rancangan Undang-undang (RUU) Omnibus Law Cipta Kerja dinilai sudah melibatkan partisipasi semua pihak, terutama kaum buruh dan pekerja. Bahkan, banyak saran dari kelompok pekerja dan buruh sudah diakomodasi dalam RUU inisiatif pemerintah itu",1
16,@begudgerl,"Membalas 
@jeonginluvyuTau dah masa sama ruu cipta kerja cpt an ruu:v",1
20,@media_maju,"Membalas 
@vin_ergee
 dan 
@VIVAcoidJangan provokasi sebar hoax tentang RUU cipta kerja atau Omnibus law, Demo boleh tetapi harus izin terlebih dahulu, dan juga jangan melakukan tindakan anarkis dan merusak yang rugi rakyat juga negara kita negara demokratis bukan negara anarkis.",1
22,@DianRosanti12,"Ketua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru Memujinya? | Serba-serbi MMCKetua DPR: Draft RUU Cipta Kerja Hanya Dicek Acak, World Bank Justru...
Pengesahan UU Cipta Kerja sudah dua minggu berlalu. Sudahlah rapat larut malam saat weekend demi sahnya RUU Cilaka ini, ternyata eh ternyata pimpinan DPR men...
youtube.com",1
23,@media_maju,"Membalas 
@Brono52222779Faktanya RUU cipta kerja prioritaskan tenaga kerja lokal, TKA tidak bebas masuk ke indonesia karena harus memenuhi aturan yang sudah ditetapkan jadi jangan termakan provokasi dan hoax tentang omnibus law.",1
